Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Commercial Furniture,150301,"Barber shop, mirror salon, mirror salon, special lamp, wall net, red tide, wall-mounted dyeing and perm hair-cutting mirror",1005002309163306,https://ae01.alicdn.com/kf/H95975a2933e841529eff389fa0ce1c5cL/Barber-shop-mirror-salon-mirror-salon-special-lamp-wall-net-red-tide-wall-mounted-dyeing-and.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H95975a2933e841529eff389fa0ce1c5cL.jpg,https://ae04.alicdn.com/kf/Hda1097ddbf4943d08a8d2bbbe64ef5efF.jpg,https://ae04.alicdn.com/kf/Hbc24a620c09b4e029dc2b7179efaba42u.jpg,https://ae04.alicdn.com/kf/Hc36c14597b784a73929fc567d0ff9e29e.jpg,https://ae04.alicdn.com/kf/H483f7b8e37174c1c8419dcb6b1d482a8n.jpg,",https://www.aliexpress.com/item/1005002309163306.html,600.00,600.00,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9hSv8X
Commercial Furniture,150301,"Hairdressing mirror, barber shop special mirror, hair salon mirror, floor mirror, single-sided frame, makeup mirror, hanging mir",1005002312034310,https://ae01.alicdn.com/kf/Hd7ee552daff847309e84944ee1722fe2A/Hairdressing-mirror-barber-shop-special-mirror-hair-salon-mirror-floor-mirror-single-sided-frame-makeup-mirror.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd7ee552daff847309e84944ee1722fe2A.jpg,https://ae04.alicdn.com/kf/Haff4c3726a3b4e64a81c0a8ec9a59d42V.jpg,https://ae04.alicdn.com/kf/Hf2974fb5b57348b395730cf86bdf1f15V.jpg,https://ae04.alicdn.com/kf/H095e701ccf634fe2980235166f526d63i.jpg,https://ae04.alicdn.com/kf/Ha707fbf0c7644d44a495e6e046786775h.jpg,",https://www.aliexpress.com/item/1005002312034310.html,500.00,500.00,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_ABH7K3
Commercial Furniture,150301,Barber shop beauty salon mirror online celebrity LED lamp salon special one floor simple hairdressing mirror,1005002309972069,https://ae01.alicdn.com/kf/Hc833859effc34ee4ac210a78286d3431y/Barber-shop-beauty-salon-mirror-online-celebrity-LED-lamp-salon-special-one-floor-simple-hairdressing-mirror.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc833859effc34ee4ac210a78286d3431y.jpg,https://ae04.alicdn.com/kf/H2954ef643bde47e3b9287efbef8e5d8cS.jpg,https://ae04.alicdn.com/kf/H6058461ee7124cb5a104adc798e413d2z.jpg,https://ae04.alicdn.com/kf/Hf75b5add806f4b2ba325cbc73b8b2dcd0.jpg,https://ae04.alicdn.com/kf/Hd844c0cb456c430fa93f30735d7fe71bf.jpg,",https://www.aliexpress.com/item/1005002309972069.html,500.00,500.00,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_A1UCgT
Commercial Furniture,150301,European Oak online celebrity Hairdressing Chair Hair Chair Lifting Hair Salon Special Retro Haircutting Chair,1005002307270991,https://ae01.alicdn.com/kf/Hea7d179d7160412d89aad9e2bc9b443e3/European-Oak-online-celebrity-Hairdressing-Chair-Hair-Chair-Lifting-Hair-Salon-Special-Retro-Haircutting-Chair.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hea7d179d7160412d89aad9e2bc9b443e3.jpg,https://ae04.alicdn.com/kf/H2eaad70a8b29443aa1c33ba4f6bc334eE.jpg,https://ae04.alicdn.com/kf/Hbf89b0fe76984a5883ac8206c30122e4L.jpg,https://ae04.alicdn.com/kf/H6c2c36c5c3314827bc58d92f498163fb6.jpg,https://ae04.alicdn.com/kf/Hdb6e45d7037749e69a986daac12ce6cdR.jpg,",https://www.aliexpress.com/item/1005002307270991.html,"1,100.00","1,100.00",8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9JYSj1
Commercial Furniture,150301,Hairdressing chairs for hair salons Deluxe barber chairs for hairdressers,1005002345260420,https://ae01.alicdn.com/kf/H3f60b9ee498f46b98b28205014c8c68a1/Hairdressing-chairs-for-hair-salons-Deluxe-barber-chairs-for-hairdressers.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3f60b9ee498f46b98b28205014c8c68a1.jpg,https://ae04.alicdn.com/kf/Hcea5f0f5bf564e2bbcc76cd8e3e9e85d4.jpg,https://ae04.alicdn.com/kf/Hcc94071b63504411a7d60013b1ba10ceT.jpg,https://ae04.alicdn.com/kf/Hd961350001244ce2af020a8a4773daa1E.jpg,https://ae04.alicdn.com/kf/Hc2ec75fa80e8436784f346bbedee98aeY.jpg,",https://www.aliexpress.com/item/1005002345260420.html,920.00,920.00,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_ALOPZZ
Commercial Furniture,150301,"A set of four Scandinavian medieval style dining chairs with solid wood foot furniture, suitable for living room, dining room",4001027376506,https://ae01.alicdn.com/kf/H0b1ab22500134fa8be63ff6df14fc791V/A-set-of-four-Scandinavian-medieval-style-dining-chairs-with-solid-wood-foot-furniture-suitable-for.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0b1ab22500134fa8be63ff6df14fc791V.jpg,https://ae04.alicdn.com/kf/H3346972e77bf4ef8b7a27b45842b1765g.jpg,https://ae04.alicdn.com/kf/Hed4fb7a2417645749ac2732aa5d0c7ffQ.jpg,https://ae04.alicdn.com/kf/H7ceeb52be9e242b7a1b8c01ea98dc7a8I.jpg,https://ae04.alicdn.com/kf/H2d10a53f4a074149a3731bebe712b4de6.jpg,",https://www.aliexpress.com/item/4001027376506.html,139.00,139.00,10.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_A0mlHv
Commercial Furniture,150301,Special double-sided vertical floor-to-ceiling hairdressing salon platform for haircut mirror hair salon in online celebrity Dye,1005002317330974,https://ae01.alicdn.com/kf/H72c9c6c1b5844108a7b1775e3ff51096S/Special-double-sided-vertical-floor-to-ceiling-hairdressing-salon-platform-for-haircut-mirror-hair-salon-in.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H72c9c6c1b5844108a7b1775e3ff51096S.jpg,https://ae04.alicdn.com/kf/H0175ef4cdb974f359f23eaee01dc9b42M.jpg,https://ae04.alicdn.com/kf/H87c206bf51b14c25aa01111729c329e8n.jpg,https://ae04.alicdn.com/kf/H4632b14bf2d04aa69dd1345767dd59ebe.jpg,https://ae04.alicdn.com/kf/Hb73ecfae254444ada9a1c9db69187b03C.jpg,",https://www.aliexpress.com/item/1005002317330974.html,"1,200.00","1,200.00",8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_A9fsQr
Commercial Furniture,150301,Solid wood simple online celebrity barber mirror landing wall double-sided mirror LED lighting mirror beauty salon dedicated,1005002312247635,https://ae01.alicdn.com/kf/He3d4f9cf79c04663a4d9cd36f74c62e8d/Solid-wood-simple-online-celebrity-barber-mirror-landing-wall-double-sided-mirror-LED-lighting-mirror-beauty.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He3d4f9cf79c04663a4d9cd36f74c62e8d.jpg,https://ae04.alicdn.com/kf/Hf8c1b74a2c96493bbf8a3b20aceff19eJ.jpg,https://ae04.alicdn.com/kf/H3972185f9a8c4ac7900f99828e56e435p.jpg,https://ae04.alicdn.com/kf/Hb8c40cbd8f724076bc5d64b31d87a8ceM.jpg,https://ae04.alicdn.com/kf/He4947bf3b6c845548bb4b406f367ed67t.jpg,",https://www.aliexpress.com/item/1005002312247635.html,"1,000.00","1,000.00",8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9zcmOB
Commercial Furniture,150301,Online celebrity barber shop special mirror dyeing floor mirror hair salon stainless steel hairdressing shop mirror double-sided,1005002312119757,https://ae01.alicdn.com/kf/H46e8f3b4d0a64929badb8808cc875306p/Online-celebrity-barber-shop-special-mirror-dyeing-floor-mirror-hair-salon-stainless-steel-hairdressing-shop-mirror.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H46e8f3b4d0a64929badb8808cc875306p.jpg,https://ae04.alicdn.com/kf/Hae41d6557e6b4e59ac9ba8184acae141V.jpg,https://ae04.alicdn.com/kf/H0d86e518ce4247588ea93f42d89d51e75.jpg,https://ae04.alicdn.com/kf/Hecb52fba594f4f7abdc4e859f37ce484o.jpg,https://ae04.alicdn.com/kf/Hd10a8e4448e643aea0e599fa60befa8em.jpg,",https://www.aliexpress.com/item/1005002312119757.html,"1,400.00","1,400.00",8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AKCUAR
Commercial Furniture,150301,Beauty driver's cart with drawer on the third floor hair salon special rack trolley barber shop tool cart,1005002306419771,https://ae01.alicdn.com/kf/H3f652c2c626949a7a4f4597d461cbc91Z/Beauty-driver-s-cart-with-drawer-on-the-third-floor-hair-salon-special-rack-trolley-barber.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3f652c2c626949a7a4f4597d461cbc91Z.jpg,https://ae04.alicdn.com/kf/H58fd134c0bef41cf9344d2cc4114c8f3Z.jpg,https://ae04.alicdn.com/kf/Hb2f8248ebea04c3fb2cd098dc02648a4p.jpg,https://ae04.alicdn.com/kf/Hda995006e03c4c5b98401c9083e25a861.jpg,https://ae04.alicdn.com/kf/H034d63fe19fc4c95937d79ca9f2e0b9bI.jpg,",https://www.aliexpress.com/item/1005002306419771.html,200.00,200.00,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9gkQhz
