Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Communication Equipment,100001204,SC UPC Fiber Optic Fast Connector 100 SC Fsat Connector Blue Fibra FTTH Single Mode Quick Connector  Adapter Field Assembly,32966014379,https://ae01.alicdn.com/kf/H574dd0de2084434a9643c794166a94c6H/SC-UPC-Fiber-Optic-Fast-Connector-100-SC-Fsat-Connector-Blue-Fibra-FTTH-Single-Mode-Quick.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H574dd0de2084434a9643c794166a94c6H.jpg,https://ae04.alicdn.com/kf/Ha9c31c0f6bab4c4ab42554ef8079a92cp.jpg,https://ae04.alicdn.com/kf/H75c736813ec94ab19d981cd30390e316R.jpg,https://ae04.alicdn.com/kf/H3e73355f5d344c588db14b6fd055d0f5z.jpg,https://ae04.alicdn.com/kf/H20b5309387fe42279a5ebf5636dd5224P.jpg,",https://www.aliexpress.com/item/32966014379.html,34.00,28.90,4.00%,2098-12-31,15%,https://s.click.aliexpress.com/e/_9hec7L
Communication Equipment,100001204,1 Pair 10/100/1000Mbps 3KM or 20KM Media Converter Fiber Optica Transceiver FTTH Optic  Gigabit Conversor De Fibra SM,33031972184,https://ae01.alicdn.com/kf/Hb5919bd865774cd3bee62868ccff3192o/1-Pair-10-100-1000Mbps-3KM-or-20KM-Media-Converter-Fiber-Optica-Transceiver-FTTH-Optic-Gigabit.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb5919bd865774cd3bee62868ccff3192o.jpg,https://ae04.alicdn.com/kf/Hfd4241ee705e43308d98325193d3f0a60.jpg,https://ae04.alicdn.com/kf/H81bd441c07d4468fa64d467fa927f99eM.jpg,https://ae04.alicdn.com/kf/H9069230aa0db4f6e9a7df9d6fc1fd6440.jpg,",https://www.aliexpress.com/item/33031972184.html,23.00,21.85,5.00%,2098-12-31,5%,https://s.click.aliexpress.com/e/_ABsGtB
Communication Equipment,100001204,Universial Antenna Magnetic Roof Mount Base Mobile Car Antennas Roof With 5 Meters Mount Bases Long Coax Cable UHF Male,1005002172497520,https://ae01.alicdn.com/kf/Hf2d8ab21dde14e6f8d18c228d7d7858dR/Universial-Antenna-Magnetic-Roof-Mount-Base-Mobile-Car-Antennas-Roof-With-5-Meters-Mount-Bases-Long.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf2d8ab21dde14e6f8d18c228d7d7858dR.jpg,https://ae04.alicdn.com/kf/H6dcfe2e0958b471a9156ce74064f5957R.jpg,https://ae04.alicdn.com/kf/H750982b349f84a759838a20ca8d7efb3R.jpg,https://ae04.alicdn.com/kf/H49e2387e3a5548e3a971efd4182fadcbe.jpg,https://ae04.alicdn.com/kf/Hb6c8c831b13044b6a7bdd6708ce826a03.jpg,",https://www.aliexpress.com/item/1005002172497520.html,16.27,16.27,18.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AYSjgv
Communication Equipment,100001204,OTDR transfer connector FC ST SC LC adaptor OTDR Fiber Optic Connector For Optical Time Domain Reflectometer Fiber Adapter,32951515536,https://ae01.alicdn.com/kf/Hcbc7e52cb3e2435baa547aea33ab1422U/OTDR-transfer-connector-FC-ST-SC-LC-adaptor-OTDR-Fiber-Optic-Connector-For-Optical-Time-Domain.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hcbc7e52cb3e2435baa547aea33ab1422U.jpg,https://ae04.alicdn.com/kf/H655f28140b8e4863b68ccb61f309eed2m.jpg,https://ae04.alicdn.com/kf/Hb5bfaf51ae4f4be2adf0b12f22e60cd8z.jpg,https://ae04.alicdn.com/kf/H5e3fb5d9767d4e42a5db9be8ed7fa23cX.jpg,https://ae04.alicdn.com/kf/H42789d3e20d0435b9136d942877eb814A.jpg,",https://www.aliexpress.com/item/32951515536.html,12.00,12.00,5.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9QXnjJ
Communication Equipment,100001204,Optical fiber stripper Longitudinal cable stripper Ribbon center tube optical cable stripper 1.9-3.0mm,1005002046751601,https://ae01.alicdn.com/kf/H9e305870d32942fba07980bb5722a12ct/Optical-fiber-stripper-Longitudinal-cable-stripper-Ribbon-center-tube-optical-cable-stripper-1-9-3-0mm.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9e305870d32942fba07980bb5722a12ct.jpg,https://ae04.alicdn.com/kf/H022a0297ff014d5faf202bb609e07456l.jpg,https://ae04.alicdn.com/kf/H02b97bb3da6a441699df3ac82102dbbbw.jpg,https://ae04.alicdn.com/kf/H0f796d4b728d4fc59b75e489248cf690h.jpg,",https://www.aliexpress.com/item/1005002046751601.html,12.00,12.00,4.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AmEKy5
Communication Equipment,100001204,Assembled QRM Eliminator X-Phase (1-30 MHz) HF bands SO-239 connectors + Case,1005001786848192,https://ae01.alicdn.com/kf/Hae692d83b241428eb5421539d12819a1T/Assembled-QRM-Eliminator-X-Phase-1-30-MHz-HF-bands-SO-239-connectors-Case.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hae692d83b241428eb5421539d12819a1T.jpg,https://ae04.alicdn.com/kf/H0da3e8134d69464497e9e9a145f1d636e.jpg,https://ae04.alicdn.com/kf/H08f3f5d45ad14e108098d27571b1a2f1z.jpg,https://ae04.alicdn.com/kf/H23bfbc609c0d404496f40b4420d1799dX.jpg,https://ae04.alicdn.com/kf/Hb0be2873b5104b999640c68cf06a47cba.jpg,",https://www.aliexpress.com/item/1005001786848192.html,60.00,60.00,4.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AXII4V
Communication Equipment,100001204,Pro Mini OTDR Fiber Optic Reflectometer 980rev with 9 Functions VFL OLS OPM Event Map 24dB for 64km Fiber Cable Ethernet Tester,4000260131964,https://ae01.alicdn.com/kf/He4cb6f0761054dcba3fc26787c765993r/Pro-Mini-OTDR-Fiber-Optic-Reflectometer-980rev-with-9-Functions-VFL-OLS-OPM-Event-Map-24dB.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He4cb6f0761054dcba3fc26787c765993r.jpg,https://ae04.alicdn.com/kf/H44a65a90f9a247d48d9b189e2e75d165P.jpg,https://ae04.alicdn.com/kf/Hd21231eb17334722beef067211137366T.jpg,https://ae04.alicdn.com/kf/H1650e572975c41bd82fde44841ce832bt.jpg,https://ae04.alicdn.com/kf/H5d8c2fe51fa04f839c243c13be512a4dN.jpg,",https://www.aliexpress.com/item/4000260131964.html,328.00,265.68,4.00%,2098-12-31,19%,https://s.click.aliexpress.com/e/_9zx2rT
Communication Equipment,100001204,1-5M RG58/50-3 RF Coaxial Cable SMA/RP-SMA Male to N Male Extension Wire For 4G LTE Cellular Amplifier Signal Booster Antenna,1005002601400009,https://ae01.alicdn.com/kf/He48a1597e3bc4401971b837b57c6d352R/1-5M-RG58-50-3-RF-Coaxial-Cable-SMA-RP-SMA-Male-to-N-Male-Extension.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He48a1597e3bc4401971b837b57c6d352R.jpg,https://ae04.alicdn.com/kf/H51f295832d35489899cc8e1f2912788fQ.jpg,https://ae04.alicdn.com/kf/H41899b1c59aa482ea3582b3db8739863G.jpg,https://ae04.alicdn.com/kf/Ha798a2e1221e4f26814a280546c24f1eK.jpg,https://ae04.alicdn.com/kf/H156f95f4dc234652b8c8a9e446e67070G.jpg,",https://www.aliexpress.com/item/1005002601400009.html,8.39,8.39,10.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_A4ocdn
Communication Equipment,100001204,10mW metal Visual Fault Locator Fiber Optic Cable Tester 10-12KM Test Laser Product Suitable for SC/FC/ST/LC,32964822483,https://ae01.alicdn.com/kf/H5efa5286ae2f4e3abd2582d332998464o/10mW-metal-Visual-Fault-Locator-Fiber-Optic-Cable-Tester-10-12KM-Test-Laser-Product-Suitable-for.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5efa5286ae2f4e3abd2582d332998464o.jpg,https://ae04.alicdn.com/kf/HTB1RFhBatfvK1RjSszhq6AcGFXa1.jpg,https://ae04.alicdn.com/kf/HTB1qplBatfvK1RjSszhq6AcGFXaG.jpg,https://ae04.alicdn.com/kf/H2ec6b915f1aa46e8b38c9ef6d0b45ded8.jpg,https://ae04.alicdn.com/kf/H12027227f3c74d30a7c81141ad0d0f1ef.jpg,",https://www.aliexpress.com/item/32964822483.html,10.00,10.00,5.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_Af4KqD
Communication Equipment,100001204,"FirstFiber 10PCS 1m 2m 3m SC APC to SC UPC  Fiber Patch Cable G657A, Jumper, Patch Cord Simplex 2.0mm  SM 5m 10m",32898105142,https://ae01.alicdn.com/kf/H636541153eda4cdcaf596827d695b007t/FirstFiber-10PCS-1m-2m-3m-SC-APC-to-SC-UPC-Fiber-Patch-Cable-G657A-Jumper-Patch.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H636541153eda4cdcaf596827d695b007t.jpg,https://ae04.alicdn.com/kf/H130cf7e391304340a354ed89d4d23dcfI.jpg,https://ae04.alicdn.com/kf/H79872235eb304688b07b0a8cf94c2b301.jpg,",https://www.aliexpress.com/item/32898105142.html,12.50,11.75,5.00%,2098-12-31,6%,https://s.click.aliexpress.com/e/_9JHZoZ
