Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Customized Jewelry,201239108,Gold Initial Letter Necklace for Women Stainless Steel A-Z  Letter  Pendant Necklace Jewelry Men Necklace Name Necklace,1005001337806323,https://ae01.alicdn.com/kf/Hb409de4de4274d4b81eb46c1f731bb517/Gold-Initial-Letter-Necklace-for-Women-Stainless-Steel-A-Z-Letter-Pendant-Necklace-Jewelry-Men-Necklace.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb409de4de4274d4b81eb46c1f731bb517.jpg,https://ae04.alicdn.com/kf/H52e35173a02d4e90aa14b0851a1f2dbeW.jpg,https://ae04.alicdn.com/kf/Hf358b420676f41c4ac5eacaf90fd0268O.jpg,https://ae04.alicdn.com/kf/H81a979a539e24e599009e1f7163adebeV.jpg,https://ae04.alicdn.com/kf/H653e274092e44f38aec53c50334f18a9O.jpg,",https://www.aliexpress.com/item/1005001337806323.html,4.50,2.25,8.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9i7q35
Customized Jewelry,201239108,Custom Name Cufflinks Accessories/Personalized Letter Cufflinks Name Logo Mens Jewelry Alphabet Cufflinks for Groom Wedding Gift,1005001335240063,https://ae01.alicdn.com/kf/H020b26a0dda84d0d9a019771faf4583fR/Custom-Name-Cufflinks-Accessories-Personalized-Letter-Cufflinks-Name-Logo-Mens-Jewelry-Alphabet-Cufflinks-for-Groom-Wedding.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H020b26a0dda84d0d9a019771faf4583fR.jpg,https://ae04.alicdn.com/kf/H48f54137336e4b4b964b7a95d5a401f5R.jpg,https://ae04.alicdn.com/kf/H13586aef1d0041feb03d9481ad68dcd36.jpg,https://ae04.alicdn.com/kf/H32a01b474f0a408b876340107592094ak.jpg,https://ae04.alicdn.com/kf/Hc492b3847c164b8688c886fa5175bccct.jpg,",https://www.aliexpress.com/item/1005001335240063.html,23.99,15.59,10.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_Aq13DN
Customized Jewelry,201239108,Zciti Custom Initial A-Z Letter Pendant &Necklaces Stainless Steel Nameplate Link For Women Men Jewelry  Necklace,4001339922467,https://ae01.alicdn.com/kf/Hbf75d4f84b414f0ba05da7e9df41cac6i/Zciti-Custom-Initial-A-Z-Letter-Pendant-Necklaces-Stainless-Steel-Nameplate-Link-For-Women-Men-Jewelry.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hbf75d4f84b414f0ba05da7e9df41cac6i.jpg,https://ae04.alicdn.com/kf/Hd73c2a6e5b6248ec92ba43be95fb6eb3m.jpg,https://ae04.alicdn.com/kf/H7c50105850f0488597f175f14b9efedeO.jpg,https://ae04.alicdn.com/kf/H69c3dfb5898d42329aa443ce014a7baeQ.jpg,https://ae04.alicdn.com/kf/H4fa9e33272714fab82983210c3af6d03A.jpg,",https://www.aliexpress.com/item/4001339922467.html,4.70,3.76,8.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_97niph
Customized Jewelry,201239108,Zciti  Personalize Year Number Necklaces for Women Custom Year 1980 1989 2000 Birthday Gift from 1980 to 2020,4001360378357,https://ae01.alicdn.com/kf/Heb68fb1d9e884e2bb23f84cddbffff71F/Zciti-Personalize-Year-Number-Necklaces-for-Women-Custom-Year-1980-1989-2000-Birthday-Gift-from-1980.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Heb68fb1d9e884e2bb23f84cddbffff71F.jpg,https://ae04.alicdn.com/kf/Ha3ef6927fa6a4dabb0a8d4410696a05bX.jpg,https://ae04.alicdn.com/kf/H1ece90e240ec4ea4a7b09797b9ee75e9S.jpg,https://ae04.alicdn.com/kf/H8665c0d460be4745b3875482d60f7a22h.jpg,https://ae04.alicdn.com/kf/Hb856eb2961c44472af44a3038d7bbbc9g.jpg,",https://www.aliexpress.com/item/4001360378357.html,4.80,3.84,8.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_9RSTzN
Customized Jewelry,201239108,Zciti name NecklaceCustom  & Pendant Stainless Steel Infinity  Personalized Name Necklaces for Women Christmas present,4001320830369,https://ae01.alicdn.com/kf/H887a60bdb9e14420bf27b602c8567fc09/Zciti-name-NecklaceCustom-Pendant-Stainless-Steel-Infinity-Personalized-Name-Necklaces-for-Women-Christmas-present.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H887a60bdb9e14420bf27b602c8567fc09.jpg,https://ae04.alicdn.com/kf/H46f2aade059c43668614a2b7131736aax.jpg,https://ae04.alicdn.com/kf/H3d0b7b173430485d8d4b83a405ef3bebU.jpg,https://ae04.alicdn.com/kf/He8789da16ce14107976f392d7575c3e2k.jpg,",https://www.aliexpress.com/item/4001320830369.html,4.70,3.76,8.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_ATs0jV
Customized Jewelry,201239108,Zciti Custom Name Necklace Love Heart Customized Couple Necklace Stainless Steel Pendant Jewelry Gold Necklace For Women,4001340261258,https://ae01.alicdn.com/kf/H83adae81f60b4ffd961139e213a21ae56/Zciti-Custom-Name-Necklace-Love-Heart-Customized-Couple-Necklace-Stainless-Steel-Pendant-Jewelry-Gold-Necklace-For.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H83adae81f60b4ffd961139e213a21ae56.jpg,https://ae04.alicdn.com/kf/H5451309e0ccd4e00b64114af5bc4239fE.jpg,https://ae04.alicdn.com/kf/H879be27f2a9240bfa6f4423c8cbc26dbL.jpg,https://ae04.alicdn.com/kf/H9a588211bfa24138b814864b96eb5115F.jpg,https://ae04.alicdn.com/kf/H4febd10f63bb4904a560b17af2d2f91fX.jpg,",https://www.aliexpress.com/item/4001340261258.html,4.50,3.60,8.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_ALIgYR
Customized Jewelry,201239108,Personalized Name Bracelet Custom 5.5mm Cuban Chain Bracelet 18K gold plated Stainless Steel Name Bracelet Do not fade Men Women,1005001501618056,https://ae01.alicdn.com/kf/H4b516a2c9c74408783e7f435fb8f5963j/Personalized-Name-Bracelet-Custom-5-5mm-Cuban-Chain-Bracelet-18K-gold-plated-Stainless-Steel-Name-Bracelet.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4b516a2c9c74408783e7f435fb8f5963j.jpg,https://ae04.alicdn.com/kf/He354ec89e0e2495589ed7c637f513161j.jpg,https://ae04.alicdn.com/kf/H8b8dc05febb943c1b43b2feb5e545f53z.jpg,https://ae04.alicdn.com/kf/H134baba1c2dd4c6c800434935eb09db6q.jpg,https://ae04.alicdn.com/kf/Hb5a6fb22098440a78f26292a787eb7475.jpg,",https://www.aliexpress.com/item/1005001501618056.html,15.99,8.31,10.00%,2098-12-31,48%,https://s.click.aliexpress.com/e/_9hRsGR
Customized Jewelry,201239108,"Personalized Name Necklace Customized Nameplate Necklaces Custom Stainless Steel ,Love Carved Name Necklace  Jewelry Gifts",4001345132206,https://ae01.alicdn.com/kf/Hf22b93fadfee41ce9e3b35ddc54c5dd61/Personalized-Name-Necklace-Customized-Nameplate-Necklaces-Custom-Stainless-Steel-Love-Carved-Name-Necklace-Jewelry-Gifts.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf22b93fadfee41ce9e3b35ddc54c5dd61.jpg,https://ae04.alicdn.com/kf/H4b1df1fa03664933bdde656b8f7d314bP.jpg,https://ae04.alicdn.com/kf/H33b94c7a174e43cbb916263e44d1cb93d.jpg,https://ae04.alicdn.com/kf/H6992c4ec8a7b4ca5ac3ee8ae16997194I.jpg,https://ae04.alicdn.com/kf/H64ef74e7a739478c96f7bbb8a8b68f15L.jpg,",https://www.aliexpress.com/item/4001345132206.html,5.83,3.50,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AndfBv
Customized Jewelry,201239108,Zciti Customized Fashion Stainless Steel Name Necklace Personalized Letter Gold Choker Necklace Pendant Nameplate Gift,4001344731597,https://ae01.alicdn.com/kf/Hfc6827cbb48b4be49e6f53f2a96aeaa5v/Zciti-Customized-Fashion-Stainless-Steel-Name-Necklace-Personalized-Letter-Gold-Choker-Necklace-Pendant-Nameplate-Gift.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hfc6827cbb48b4be49e6f53f2a96aeaa5v.jpg,https://ae04.alicdn.com/kf/Hf32203f3f6394f0997411eb357463522q.jpg,https://ae04.alicdn.com/kf/H56eb010fec8d48f081025092983f8314G.jpg,https://ae04.alicdn.com/kf/H88190e4c6f0a4d82b672cf14315bfe069.jpg,https://ae04.alicdn.com/kf/H3a22891f196e4e01aa8498df046a23a1A.jpg,",https://www.aliexpress.com/item/4001344731597.html,4.70,3.76,8.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_AMWwor
Customized Jewelry,201239108,Zciti  Name Necklace Love Heart Customized Couple Necklace Stainless Steel Pendant Jewelry Christmas Gift For Women,4001340071445,https://ae01.alicdn.com/kf/H220cb6d6962f4b80a22ed74ec08351c8b/Zciti-Name-Necklace-Love-Heart-Customized-Couple-Necklace-Stainless-Steel-Pendant-Jewelry-Christmas-Gift-For-Women.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H220cb6d6962f4b80a22ed74ec08351c8b.jpg,https://ae04.alicdn.com/kf/H371f973878e244918cb2c4b831f81e22c.jpg,https://ae04.alicdn.com/kf/H767b0a30756e4c42b6b748c323101db4q.jpg,https://ae04.alicdn.com/kf/H8cd5f04c858f45e4850ea0ea833c8941q.jpg,https://ae04.alicdn.com/kf/H94d739f5fe3f469bbbb09075651f88fdB.jpg,",https://www.aliexpress.com/item/4001340071445.html,6.65,3.99,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_9vMwIT
