Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Fashion Jewelry,1509,New Korean Fashion Earring Pendientes Rhinestone Leaf Stud Earrings for Girls Luxury Jewelry Alloy Earrings Women Accessories,1005001685704912,https://ae01.alicdn.com/kf/H5a3960988ce2479685edb2010b89b745a/New-Korean-Fashion-Earring-Pendientes-Rhinestone-Leaf-Stud-Earrings-for-Girls-Luxury-Jewelry-Alloy-Earrings-Women.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5a3960988ce2479685edb2010b89b745a.jpg,https://ae04.alicdn.com/kf/H3be367198b5547b5a1960cc280e61d91O.jpg,https://ae04.alicdn.com/kf/H2b2da4cae381470ead1df01db5603db53.jpg,https://ae04.alicdn.com/kf/H52a90aca283941448160d22d43507030f.jpg,https://ae04.alicdn.com/kf/H1dfa680e9bc249dba0dbb32e71e5e776y.jpg,",https://www.aliexpress.com/item/1005001685704912.html,3.08,2.22,8.00%,2098-12-31,28%,https://s.click.aliexpress.com/e/_APgGMJ
Fashion Jewelry,1509,2021 Punk Fashion Statement Golden Stainless Steel Earrings Matte Circle Shaped Cross Twisted Vintage Earrings for Women bijoux,1005002108767409,https://ae01.alicdn.com/kf/Hb0858844620a49ba94224942aee9728dI/2021-Punk-Fashion-Statement-Golden-Stainless-Steel-Earrings-Matte-Circle-Shaped-Cross-Twisted-Vintage-Earrings-for.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb0858844620a49ba94224942aee9728dI.jpg,https://ae04.alicdn.com/kf/H6f9412a489dd485aa049b479e778afb1t.jpg,https://ae04.alicdn.com/kf/H5d1af8718aa24be6ba12628e703d9aa77.jpg,https://ae04.alicdn.com/kf/H56074d53d38242a78273ba1d822f5029I.jpg,https://ae04.alicdn.com/kf/Hf604b0d33a31460cac970eb1c99c5634h.jpg,",https://www.aliexpress.com/item/1005002108767409.html,3.37,2.43,8.00%,2098-12-31,28%,https://s.click.aliexpress.com/e/_9fdZwX
Fashion Jewelry,1509,Devyes Silver Color Fashion Jewelry Sets Cubic Zircon Statement Earring Necklace Ring Sets Wedding Pendant for Women Gift,1005002256260808,https://ae01.alicdn.com/kf/Hc94e5c2761d442ffa2928a80010af041a/Devyes-Silver-Color-Fashion-Jewelry-Sets-Cubic-Zircon-Statement-Earring-Necklace-Ring-Sets-Wedding-Pendant-for.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc94e5c2761d442ffa2928a80010af041a.jpg,https://ae04.alicdn.com/kf/H5da02cb2f7be4019834083a684317df0x.jpg,https://ae04.alicdn.com/kf/Hc9b5570a8dec4b3086a9a72f655ebb58F.jpg,https://ae04.alicdn.com/kf/H2f74e0cab3944d1e91baf1126b8286cdY.jpg,https://ae04.alicdn.com/kf/Hdb5a801e7d174c8ba39585984008f7faq.jpg,",https://www.aliexpress.com/item/1005002256260808.html,6.90,4.21,20.00%,2098-12-31,39%,https://s.click.aliexpress.com/e/_A2vWgf
Fashion Jewelry,1509,Luxury Creative Tow Tone Women's Engagement Rings Shine White Marquise CZ Stone Inlay Elegant Lady Wedding Ring Fashion Jewelry,1005002471451324,https://ae01.alicdn.com/kf/H78f31ac1e8bc49a29ed7c4dadc469ca0b/Luxury-Creative-Tow-Tone-Women-s-Engagement-Rings-Shine-White-Marquise-CZ-Stone-Inlay-Elegant-Lady.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H78f31ac1e8bc49a29ed7c4dadc469ca0b.jpg,https://ae04.alicdn.com/kf/H129dc9e352c04a2d83070831b3175541D.jpg,https://ae04.alicdn.com/kf/H7ac4069c41ba40af9f39ecda04d2167aX.jpg,https://ae04.alicdn.com/kf/H1f3da216e24d42fc90c7b72185f775d3u.jpg,https://ae04.alicdn.com/kf/H7c21d85514e24f3ea3cdc885c78f0e89w.jpg,",https://www.aliexpress.com/item/1005002471451324.html,5.62,2.30,8.00%,2098-12-31,59%,https://s.click.aliexpress.com/e/_ApT7IB
Fashion Jewelry,1509,Exquisite Fashion Big Oval Opals Rings For Women White CZ Stone Micro Paved Boho Banquet Jewelry Cocktail Ring Female Best Gift,1005002471284816,https://ae01.alicdn.com/kf/H3da5f3a4e1594a4b953ab73f2c65cd19O/Exquisite-Fashion-Big-Oval-Opals-Rings-For-Women-White-CZ-Stone-Micro-Paved-Boho-Banquet-Jewelry.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3da5f3a4e1594a4b953ab73f2c65cd19O.jpg,https://ae04.alicdn.com/kf/Hfd1c846a42fb4f1ab361dadc4c942b13i.jpg,https://ae04.alicdn.com/kf/H48655190e3de4734b329d46c03119673s.jpg,https://ae04.alicdn.com/kf/Hf4a15611f5db408c9759a2e15c15cffdQ.jpg,https://ae04.alicdn.com/kf/H1853ab3db79b41c685754ab6c691e46ay.jpg,",https://www.aliexpress.com/item/1005002471284816.html,5.01,2.05,8.00%,2098-12-31,59%,https://s.click.aliexpress.com/e/_A8YcCR
Fashion Jewelry,1509,Luxury Delicate Large Bowknot Rings For Women Square Brilliant Zircon Stone Full Paved Cocktail Ring Cute Party Jewelry Gift,1005002471309476,https://ae01.alicdn.com/kf/Hae6c0f9036b644d1b32c3c18e8837809V/Luxury-Delicate-Large-Bowknot-Rings-For-Women-Square-Brilliant-Zircon-Stone-Full-Paved-Cocktail-Ring-Cute.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hae6c0f9036b644d1b32c3c18e8837809V.jpg,https://ae04.alicdn.com/kf/Ha0e6d4d84a2d4b3dbbbf66db15296610A.jpg,https://ae04.alicdn.com/kf/H4de208e86eed4cc78cddbfa0d605f336l.jpg,https://ae04.alicdn.com/kf/H4f1eab93e4a4486bab3d2b2b62dee081H.jpg,https://ae04.alicdn.com/kf/H29e5dab30d8c49899958d340d439402ce.jpg,",https://www.aliexpress.com/item/1005002471309476.html,6.32,2.59,8.00%,2098-12-31,59%,https://s.click.aliexpress.com/e/_Ac8OFz
Fashion Jewelry,1509,Fashion Silver Open Ring Geometric Design Alloy Party Jewelry Anniversary Gift,1005002471292712,https://ae01.alicdn.com/kf/Hc31d9b9c5e6142e7a65b83312f2b380dd/Fashion-Silver-Open-Ring-Geometric-Design-Alloy-Party-Jewelry-Anniversary-Gift.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc31d9b9c5e6142e7a65b83312f2b380dd.jpg,https://ae04.alicdn.com/kf/H97b0e763e47a4a399ba88d0e1ec7cbd2Z.jpg,https://ae04.alicdn.com/kf/Hb5e2fec2d91d47cda7ab061c1c4ea539E.jpg,https://ae04.alicdn.com/kf/H5c8923dc995749e392b5ac937f32dc7cZ.jpg,https://ae04.alicdn.com/kf/H44c21a98f7f8456588054bab226f4a1bV.jpg,",https://www.aliexpress.com/item/1005002471292712.html,5.64,3.38,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_98rGB5
Fashion Jewelry,1509,Fashion Stainless Steel Necklace Gamepad Pendant Mini Game Pendant Jewelry Hip Hop Punk Party Jewelry,1005002471296618,https://ae01.alicdn.com/kf/Hd54e834e6df0485cb8dd47674a50ac5cE/Fashion-Stainless-Steel-Necklace-Gamepad-Pendant-Mini-Game-Pendant-Jewelry-Hip-Hop-Punk-Party-Jewelry.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd54e834e6df0485cb8dd47674a50ac5cE.jpg,https://ae04.alicdn.com/kf/H4409ce2a6b8d4b17858f6c5258d5d6e8K.jpg,https://ae04.alicdn.com/kf/Hf68e08c20dc0480287bdf044172d86080.jpg,https://ae04.alicdn.com/kf/Hdc2cb5ce6b3c4ec0bdfb1ff86e3212f0n.jpg,https://ae04.alicdn.com/kf/H657258a5507d46e7ba6c4bcb6ec1112a3.jpg,",https://www.aliexpress.com/item/1005002471296618.html,5.94,3.56,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AolgxN
Fashion Jewelry,1509,Fashion Silver Little Devil Necklace Stainless Steel Wild Pendant Jewelry Gift Punk Party Jewelry,1005002471351227,https://ae01.alicdn.com/kf/H0402f70c0bff4c2cb609afd3c58a2d3aG/Fashion-Silver-Little-Devil-Necklace-Stainless-Steel-Wild-Pendant-Jewelry-Gift-Punk-Party-Jewelry.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0402f70c0bff4c2cb609afd3c58a2d3aG.jpg,https://ae04.alicdn.com/kf/H31f295f932484b71bb65a4931bc4bad79.jpg,https://ae04.alicdn.com/kf/He9842c2575de4bdaa380e40ba9f5228fT.jpg,https://ae04.alicdn.com/kf/H04d6673f571f46fe910ec09bd88dc47ey.jpg,https://ae04.alicdn.com/kf/H370fbdec3ec54302b0d39a4763ab44b8t.jpg,",https://www.aliexpress.com/item/1005002471351227.html,5.94,3.56,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_A72Dmr
Fashion Jewelry,1509,Smiling Face Thick Chain Bracelet for Men Women Couple Expression Bracelet Hip Hop Punk Party Jewelry,1005002471338343,https://ae01.alicdn.com/kf/Hd013e59b19784c719b02b4b73602e91eY/Smiling-Face-Thick-Chain-Bracelet-for-Men-Women-Couple-Expression-Bracelet-Hip-Hop-Punk-Party-Jewelry.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd013e59b19784c719b02b4b73602e91eY.jpg,https://ae04.alicdn.com/kf/H65cb97a322e54b15ad2444ae12ba80cbo.jpg,https://ae04.alicdn.com/kf/H57dc6deda165445ba17c118529e2778dX.jpg,https://ae04.alicdn.com/kf/Ha8bb570529974a738834de922fdb8216G.jpg,https://ae04.alicdn.com/kf/H535890e7a45e4cb19ba6b337d20a092eb.jpg,",https://www.aliexpress.com/item/1005002471338343.html,5.94,3.56,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AbqTp5
