Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Fitness & Body Building,100005371,"Yoga Strap Yoga Stretch Bands with Adjustable D-Ring Buckle for Daily Stretching, Yoga, Pilates, Physical Therapy, Fitness",1005002551663007,https://ae01.alicdn.com/kf/H6afa2dd232f64dfa96f5128a32573dabr/Yoga-Strap-Yoga-Stretch-Bands-with-Adjustable-D-Ring-Buckle-for-Daily-Stretching-Yoga-Pilates-Physical.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6afa2dd232f64dfa96f5128a32573dabr.jpg,https://ae04.alicdn.com/kf/H54aee3083733416181f65e1c4b199addq.jpg,https://ae04.alicdn.com/kf/H007ffe55ea2b4392b7b8b4a8af6d42d9M.jpg,https://ae04.alicdn.com/kf/H176b252357c6459583510b75489aee960.jpg,https://ae04.alicdn.com/kf/Hf4207914261e49c4ac20da27ae2c806fj.jpg,",https://www.aliexpress.com/item/1005002551663007.html,13.83,13.83,10.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9xMLzr
Fitness & Body Building,100005371,Heavy Duty Tricep Rope LAT Pull Down Attachments for Gym 36 Inch Braided Nylon Cable with Stainless Steel Snap Hook,1005002551694238,https://ae01.alicdn.com/kf/Hf6701401852e4244ae735e9248fa6a90F/Heavy-Duty-Tricep-Rope-LAT-Pull-Down-Attachments-for-Gym-36-Inch-Braided-Nylon-Cable-with.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf6701401852e4244ae735e9248fa6a90F.jpg,https://ae04.alicdn.com/kf/Hd531a88ef0fd46ea978c751f792033d6V.jpg,https://ae04.alicdn.com/kf/H1f78f3d9db1a4c899223669cf96f03fer.jpg,https://ae04.alicdn.com/kf/H1808b9eb3e9d48bdb1ef77f0bc03d89ft.jpg,https://ae04.alicdn.com/kf/H6376c5d7f321429292e469e7a3625894Q.jpg,",https://www.aliexpress.com/item/1005002551694238.html,69.99,69.99,10.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AP2sjP
Fitness & Body Building,100005371,Finger Trainer Resistance Bands Hand Grip Wrist Stretcher Exercise Fitness Equipment,1005002551641244,https://ae01.alicdn.com/kf/H7f2ba25aa0d9486ebfd3c6c94cc6da98a/Finger-Trainer-Resistance-Bands-Hand-Grip-Wrist-Stretcher-Exercise-Fitness-Equipment.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7f2ba25aa0d9486ebfd3c6c94cc6da98a.jpg,https://ae04.alicdn.com/kf/H06d6c52fa0cf4c19acdc9124db6b72f4d.jpg,https://ae04.alicdn.com/kf/H7fe5bf9870ad4e5ab1026c0e7244486cj.jpg,https://ae04.alicdn.com/kf/H296decd1f70045ce843475f86764ef27T.jpg,https://ae04.alicdn.com/kf/H3a0f0b6d16ed4f00897cbd67882f1156v.jpg,",https://www.aliexpress.com/item/1005002551641244.html,18.73,18.73,10.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9AVm3n
Fitness & Body Building,100005371,Professional Jump Rope Crossfit Speed Skipping Rope Workout Adjustable Fast  Training,1005002543016985,https://ae01.alicdn.com/kf/H12bb8172c4a3440bbdc91566c7c827e4I/Professional-Jump-Rope-Crossfit-Speed-Skipping-Rope-Workout-Adjustable-Fast-Training.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H12bb8172c4a3440bbdc91566c7c827e4I.jpg,https://ae04.alicdn.com/kf/Hac87efffb9164d95ad29f6f4abab38c5b.jpg,https://ae04.alicdn.com/kf/H60830de29c12473897c6747d3d756c57C.jpg,https://ae04.alicdn.com/kf/H725070fc369d46928522747b0d5c4830B.jpg,https://ae04.alicdn.com/kf/Hdbc9f04b6e1243e08ba9802090211258q.jpg,",https://www.aliexpress.com/item/1005002543016985.html,29.99,29.99,15.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9G6HKD
Fitness & Body Building,100005371,Muscle Massage Roller Stick Body Relax Tool Muscle Roller Sticks with 3 Point Spiky Ball,1005002543142939,https://ae01.alicdn.com/kf/H91deef5847b34260b13f3f80cebfddd4m/Muscle-Massage-Roller-Stick-Body-Relax-Tool-Muscle-Roller-Sticks-with-3-Point-Spiky-Ball.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H91deef5847b34260b13f3f80cebfddd4m.jpg,https://ae04.alicdn.com/kf/H5386c68bdfba45ad8f5c880361f64db1F.jpg,https://ae04.alicdn.com/kf/H3e2755886b0a45e2b11e1a0a93d53e20d.jpg,https://ae04.alicdn.com/kf/Ha1e280052e9d4cc589953ce962eedc8ej.jpg,https://ae04.alicdn.com/kf/H0bf63763985f49db91f13c024c75d2a4t.jpg,",https://www.aliexpress.com/item/1005002543142939.html,15.70,15.70,15.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_As0iop
Fitness & Body Building,100005371,Custom Logo Seamless Sport Suit Women Yoga Set Workout Shirts Gym Leggings Fitness Clothing Crop Top Running Pant Bra Sportswear,1005002608826491,https://ae01.alicdn.com/kf/H65f1a820a163459abbedc6b6f30550a0Z/Custom-Logo-Seamless-Sport-Suit-Women-Yoga-Set-Workout-Shirts-Gym-Leggings-Fitness-Clothing-Crop-Top.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H65f1a820a163459abbedc6b6f30550a0Z.jpg,https://ae04.alicdn.com/kf/H07f024e8946948c98e1cb1fe05d06d910.jpg,https://ae04.alicdn.com/kf/H436cff6b3d4040c7a582f32299030597G.jpg,https://ae04.alicdn.com/kf/Habf4fae171804314ab483b01fca78ea8y.jpg,https://ae04.alicdn.com/kf/H898bd4b2e3084e889938c791730d36b8q.jpg,",https://www.aliexpress.com/item/1005002608826491.html,18.99,18.99,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_A8jTxx
Fitness & Body Building,100005371,Crossfit Jump Rope Speed & Weighted Jump Ropes Adjustable Wire Skipping Rope with Extra Cable Ball Bearings Anti-Slip Handle,1005002269020199,https://ae01.alicdn.com/kf/Ha681169f36b04b8199b3d8e5df3d4d04m/Crossfit-Jump-Rope-Speed-Weighted-Jump-Ropes-Adjustable-Wire-Skipping-Rope-with-Extra-Cable-Ball-Bearings.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha681169f36b04b8199b3d8e5df3d4d04m.jpg,https://ae04.alicdn.com/kf/H83cb3487b4ef4e409b9989b0b46881df7.jpg,https://ae04.alicdn.com/kf/Hb31f852bf7f24e939ce736d48b90c32c9.jpg,https://ae04.alicdn.com/kf/H47c8e23fb72d48aea2dd5012533d62dbN.jpg,https://ae04.alicdn.com/kf/He64175139cdd4683a46d7cecfa820062v.jpg,",https://www.aliexpress.com/item/1005002269020199.html,18.56,18.56,20.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_ANwNuH
Fitness & Body Building,100005371,PVC Thickened Sports Yoga Balance Ball Explosion-Proof Bola Pilates Fitness Gym Exercise Fitball Training Workout Massage Barre,1005002613097561,https://ae01.alicdn.com/kf/H5e3ee36248c94a11af374e760c9b6918Y/PVC-Thickened-Sports-Yoga-Balance-Ball-Explosion-Proof-Bola-Pilates-Fitness-Gym-Exercise-Fitball-Training-Workout.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5e3ee36248c94a11af374e760c9b6918Y.jpg,https://ae04.alicdn.com/kf/Ha988606d96704b8ca111b6f2f17e7990F.png,https://ae04.alicdn.com/kf/H1952128203c8445fa6ff9066af8697a0I.png,https://ae04.alicdn.com/kf/H6492d6b09eb84cd0a61bf71149a0529bd.png,https://ae04.alicdn.com/kf/H1d73767ad1b840b3a560d7d5c11166e1u.png,",https://www.aliexpress.com/item/1005002613097561.html,8.45,8.45,10.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9jQJxj
Fitness & Body Building,100005371,Ab Rolller Wheel Abdominal Exercise Roller - Classic Dual Wheel with Foam Handles - Includes Extra Thick Knee Pad,1005002551451785,https://ae01.alicdn.com/kf/Hd51f094d370a47c19961e7a4ce8b2780K/Ab-Rolller-Wheel-Abdominal-Exercise-Roller-Classic-Dual-Wheel-with-Foam-Handles-Includes-Extra-Thick-Knee.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd51f094d370a47c19961e7a4ce8b2780K.jpg,https://ae04.alicdn.com/kf/H7accb984266840deb781ed28aa5d83b35.jpg,https://ae04.alicdn.com/kf/H566bc9d06ff047b185cd2644a4377e4cX.jpg,https://ae04.alicdn.com/kf/H43bac51371624dc3a14abaf705f7bed0c.jpg,https://ae04.alicdn.com/kf/H36de7dba486b4be683c954a5ffc5e16aC.jpg,",https://www.aliexpress.com/item/1005002551451785.html,48.97,48.97,10.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AE3ZZP
Fitness & Body Building,100005371,Yoga Clothes Set Two-Piece Set Women Paints Summer Cross-Border Sports Bra In Europe And America High Waist No Embarrassing Line,1005002583431527,https://ae01.alicdn.com/kf/H1b0a0a0c69cc415c9df543ef4ef4f8aaF/Yoga-Clothes-Set-Two-Piece-Set-Women-Paints-Summer-Cross-Border-Sports-Bra-In-Europe-And.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1b0a0a0c69cc415c9df543ef4ef4f8aaF.jpg,https://ae04.alicdn.com/kf/Hd4bd465e6e5343daacc77670c4a4d1080.jpg,https://ae04.alicdn.com/kf/H2442fcfea17d4e2487088c87e9e03cb58.jpg,https://ae04.alicdn.com/kf/Hd1e616194e9d4bdba68f4f0136a55ceaW.jpg,https://ae04.alicdn.com/kf/Hc545c1d29ce3464aa5a2bff0c5e41c80y.jpg,",https://www.aliexpress.com/item/1005002583431527.html,27.85,27.85,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AVrRwt
