Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Furniture Parts,3708,4pcs/set Chair Leg Caps Rubber Feet Protector Pads Furniture Table Covers Hole Plugs Dust Cover Pads Wood Floor Protectors,1005002023066397,https://ae01.alicdn.com/kf/H137abc4cdd3f4861b63837c3c529d394y/4pcs-set-Chair-Leg-Caps-Rubber-Feet-Protector-Pads-Furniture-Table-Covers-Hole-Plugs-Dust-Cover.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H137abc4cdd3f4861b63837c3c529d394y.jpg,https://ae04.alicdn.com/kf/Hfe33036508704a3f8dc6c4bc0fe448ffT.jpg,https://ae04.alicdn.com/kf/Hcdac8676e7ed436da1d01e372fee214au.jpg,https://ae04.alicdn.com/kf/Hd2bf579eba2149efbf03666a00c59514e.jpg,https://ae04.alicdn.com/kf/H05d1946eeb7c4bea90e0d992106e90c9H.jpg,",https://www.aliexpress.com/item/1005002023066397.html,1.72,0.98,15.00%,2098-12-31,43%,https://s.click.aliexpress.com/e/_Ak952L
Furniture Parts,3708,4pcs/set Table Chair Leg Mat Caps Non-slip Table Chair Leg Pad Caps Foot Protection Cover Table Chair Foot Protective Cover,1005002023178015,https://ae01.alicdn.com/kf/He19457962dad492b888d063dcdbddb41F/4pcs-set-Table-Chair-Leg-Mat-Caps-Non-slip-Table-Chair-Leg-Pad-Caps-Foot-Protection.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He19457962dad492b888d063dcdbddb41F.jpg,https://ae04.alicdn.com/kf/Hf8adcb7b131f47d8ab5f6f5bad0b5721f.jpg,https://ae04.alicdn.com/kf/Haf0c1751e41a4de5989cfa37a097fb86E.jpg,https://ae04.alicdn.com/kf/H6047423e5e99490391285ebab898b1c79.jpg,https://ae04.alicdn.com/kf/Hb25fb61519c445ac8365cd8232c71f02A.jpg,",https://www.aliexpress.com/item/1005002023178015.html,1.90,1.08,8.00%,2098-12-31,43%,https://s.click.aliexpress.com/e/_9zkEDz
Furniture Parts,3708,4PCS Anti-skid Wear Resistant Transparent Thickened Dining Table Chair Furniture Cap Pad Hole Plugs Stool Foot Cover Protective,1005001628470458,https://ae01.alicdn.com/kf/Hb8fcd989fc5b46e0807546fbbab58dbfo/4PCS-Anti-skid-Wear-Resistant-Transparent-Thickened-Dining-Table-Chair-Furniture-Cap-Pad-Hole-Plugs-Stool.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb8fcd989fc5b46e0807546fbbab58dbfo.jpg,https://ae04.alicdn.com/kf/H69df14c202714f3a92a734aba7a7096ec.jpg,https://ae04.alicdn.com/kf/H28dacfe585894e58a9383476a12ff79bO.jpg,https://ae04.alicdn.com/kf/Hefb67c14ed6e459a9c3eed92058d1962H.jpg,https://ae04.alicdn.com/kf/H731feed86f484d3d880ebc80b862ca6dR.jpg,",https://www.aliexpress.com/item/1005001628470458.html,1.31,1.05,8.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_A9J46n
Furniture Parts,3708,Rubber Furniture Protection Cover Chair Leg Table Feet Floor Anti Scratch Slip Home Kitchen Bedroom BathroomToolsTable Legs Caps,1005002483868871,https://ae01.alicdn.com/kf/Ha8ca463b40464bc08dc5921c76c5e4a8F/Rubber-Furniture-Protection-Cover-Chair-Leg-Table-Feet-Floor-Anti-Scratch-Slip-Home-Kitchen-Bedroom-BathroomToolsTable.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha8ca463b40464bc08dc5921c76c5e4a8F.jpg,https://ae04.alicdn.com/kf/H9011a9e213ba442492bb0b6f7cd40eccp.jpg,https://ae04.alicdn.com/kf/H48f52c4d414648e0aefc0832cba51446J.jpg,https://ae04.alicdn.com/kf/H1003c18012c242c593b0f8192c0089d11.jpg,https://ae04.alicdn.com/kf/H903ad3d3fe1d487d94db23865f564eceg.jpg,",https://www.aliexpress.com/item/1005002483868871.html,5.00,5.00,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_A3OvHZ
Furniture Parts,3708,4PCs Colorful Baby Safety Protector Table Corner Desk Protection Children Anticollision Edge Thicken Soft Child Corner Guards,1005001555004195,https://ae01.alicdn.com/kf/H544b5fa3143244699b5b72475b76a9ccS/4PCs-Colorful-Baby-Safety-Protector-Table-Corner-Desk-Protection-Children-Anticollision-Edge-Thicken-Soft-Child-Corner.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H544b5fa3143244699b5b72475b76a9ccS.jpg,https://ae04.alicdn.com/kf/H97df36667538404e800ba45547cc399ev.jpg,https://ae04.alicdn.com/kf/Hd16c42d8c8284b6296b403f4200bf0bfk.jpg,https://ae04.alicdn.com/kf/H682010820f594147b5258accd194e6acN.jpg,https://ae04.alicdn.com/kf/H1d4ee4d6a9bf4dff84ddf1117ca84128o.jpg,",https://www.aliexpress.com/item/1005001555004195.html,2.05,1.64,8.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_AdxA9l
Furniture Parts,3708,Anti-Skid & Scratch Rubber Furniture Protection Pads Kit & Self Adhesive Floor Scratch Protectors Set,1005002252516716,https://ae01.alicdn.com/kf/H3df92f34ca114f518d1bb16b20b32b4az/Anti-Skid-Scratch-Rubber-Furniture-Protection-Pads-Kit-Self-Adhesive-Floor-Scratch-Protectors-Set.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3df92f34ca114f518d1bb16b20b32b4az.jpg,https://ae04.alicdn.com/kf/Hc6c5b4ea4be1424aaa434ab55f05898dm.jpg,https://ae04.alicdn.com/kf/H2e84f2ed484d4b00ba2843f88d5dcd0cV.jpg,https://ae04.alicdn.com/kf/Hffe10a81ca0f4e7baef7249e93cae2d63.jpg,https://ae04.alicdn.com/kf/H8af51392a57c4cbb972982e76e679439l.jpg,",https://www.aliexpress.com/item/1005002252516716.html,1.80,1.80,12.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AdphoJ
Furniture Parts,3708,8pcs Table Chair Leg Silicone Cap Pad Furniture Table Feet Cover Floor Protector Household Leg Full Protection Chair Accessories,1005002524239380,https://ae01.alicdn.com/kf/H8c0e31560de5443cbf8e841933a8ad8dH/8pcs-Table-Chair-Leg-Silicone-Cap-Pad-Furniture-Table-Feet-Cover-Floor-Protector-Household-Leg-Full.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8c0e31560de5443cbf8e841933a8ad8dH.jpg,https://ae04.alicdn.com/kf/H7620693a75304bae9cc724a2317aa066B.jpg,https://ae04.alicdn.com/kf/H341192ff692044e0b9ac5fb1b4142683t.jpg,https://ae04.alicdn.com/kf/H3bb7c0a8ac434aada3e1b455d64daa7eB.jpg,https://ae04.alicdn.com/kf/Had57a48b4814435e83764bd22a4a69061.jpg,",https://www.aliexpress.com/item/1005002524239380.html,5.11,5.11,10.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AFrKrh
Furniture Parts,3708,4Pcs Golden Furniture Cabinet Metal Legs Round Tapered Leg DIY Furnitur Sofa Table Bed Shoe Cabinet Desk Legs 15/20/25/30cm,1005002505398933,https://ae01.alicdn.com/kf/H91d8d3d21d674cf6ae758585482934adS/4Pcs-Golden-Furniture-Cabinet-Metal-Legs-Round-Tapered-Leg-DIY-Furnitur-Sofa-Table-Bed-Shoe-Cabinet.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H91d8d3d21d674cf6ae758585482934adS.jpg,https://ae04.alicdn.com/kf/H7b1b8eefb1b64c2a84ffbce0cbe33c0ab.jpg,https://ae04.alicdn.com/kf/Hfa0f3287c39349de889051f55711a39dG.jpg,https://ae04.alicdn.com/kf/H8fbb76a56f07436ab8bf1a1d79ee2026S.jpg,https://ae04.alicdn.com/kf/H67ddc464baaa4144beee2de037af13bdL.jpg,",https://www.aliexpress.com/item/1005002505398933.html,30.80,30.80,10.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_A9lrlv
Furniture Parts,3708,Protective Cover For Table Chair Leg Silicone Non-slip Furniture Leg Caps Foot Protection Bottom Cover Pads Wood Floor Mat,1005002560173082,https://ae01.alicdn.com/kf/Ha439a9492f8445ce9f10d9bdb2357b26p/Protective-Cover-For-Table-Chair-Leg-Silicone-Non-slip-Furniture-Leg-Caps-Foot-Protection-Bottom-Cover.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha439a9492f8445ce9f10d9bdb2357b26p.jpg,https://ae04.alicdn.com/kf/He96eacb3311844e3bca945bfa1ffd45ag.jpg,https://ae04.alicdn.com/kf/H435f1b601a184805be40dcf68eb0cdeeX.jpg,https://ae04.alicdn.com/kf/Hfce840e761f5472fb6fc01babd4bbbd42.jpg,https://ae04.alicdn.com/kf/Hf44e98474b10432f8ee284ec6cb657fbw.jpg,",https://www.aliexpress.com/item/1005002560173082.html,8.28,8.28,12.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9IKTUf
Furniture Parts,3708,4pcs/set Antique Bronze Brass Jewelry Chest Wood Furniture Box Decorative Feet Leg Corner Protector Vintage Decoration,1005002196424489,https://ae01.alicdn.com/kf/H24d76fec96654430a112b8744d85dbf1W/4pcs-set-Antique-Bronze-Brass-Jewelry-Chest-Wood-Furniture-Box-Decorative-Feet-Leg-Corner-Protector-Vintage.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H24d76fec96654430a112b8744d85dbf1W.jpg,https://ae04.alicdn.com/kf/H91654b63b67b479f9d4c9e943e03c581H.jpg,https://ae04.alicdn.com/kf/Hc87edfe909884846988e4f74ed699ec49.jpg,https://ae04.alicdn.com/kf/Haf9c96dd1d034380a4278f4ce59a2224u.jpg,https://ae04.alicdn.com/kf/H35bf231c563a49b4b044cd0dcf1b2599S.jpg,",https://www.aliexpress.com/item/1005002196424489.html,4.06,2.64,8.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_AtUSyT
