Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Hoodies & Sweatshirts,200000344,2021 Kids Pullover Likee Video App Sweatshirt Children's Clothing Baby Boys Girls Hoodie Casual Tops with Hood Students Hoodies/,1005002445611832,https://ae01.alicdn.com/kf/H55e5524498574b0b981d4a4193781cf3m/2021-Kids-Pullover-Likee-Video-App-Sweatshirt-Children-s-Clothing-Baby-Boys-Girls-Hoodie-Casual-Tops.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H55e5524498574b0b981d4a4193781cf3m.jpg,https://ae04.alicdn.com/kf/Hf2679e2e854b4088be7ddf730a5cc0a8G.jpg,https://ae04.alicdn.com/kf/Ha4fcaf8ab93349e4be02025174e979dfD.jpg,https://ae04.alicdn.com/kf/H89288412d0e1499082d1753df9a26e83q.jpg,https://ae04.alicdn.com/kf/H566aad4551f74ba58ea458f2a70e6bd4S.jpg,",https://www.aliexpress.com/item/1005002445611832.html,12.99,9.09,9.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_ApCy6x
Hoodies & Sweatshirts,200000344,Winter Casual Tracksuit Women 2 Piece Set Hoodies+Pants Sportwear Women's Sports Suit Hooded Sweatshirt Set Female Clothes,1005002454847693,https://ae01.alicdn.com/kf/H7e7955844ea34911b6b7f99bb73056edU/Winter-Casual-Tracksuit-Women-2-Piece-Set-Hoodies-Pants-Sportwear-Women-s-Sports-Suit-Hooded-Sweatshirt.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7e7955844ea34911b6b7f99bb73056edU.jpg,https://ae04.alicdn.com/kf/H57410b9c6af746a6ae0e5d20ce323f7a6.jpg,https://ae04.alicdn.com/kf/Hb67c0b4901e44464b704310d8be608e1B.jpg,https://ae04.alicdn.com/kf/H9cf16cf0c0174874bb8a2854ff5246c6m.jpg,https://ae04.alicdn.com/kf/Hf09d992a0c8b41a7b62ca88544046954S.jpg,",https://www.aliexpress.com/item/1005002454847693.html,10.88,7.07,9.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_AbVhSP
Hoodies & Sweatshirts,200000344,Aikooki Men Hoodie Stranger Things Hoodies casual pullover Sweatshirt Stranger Things Sweatshirts Winter hoodie Women/Men  hoody,1005002454737128,https://ae01.alicdn.com/kf/H90baa80ce55f48d195b21501dc127790y/Aikooki-Men-Hoodie-Stranger-Things-Hoodies-casual-pullover-Sweatshirt-Stranger-Things-Sweatshirts-Winter-hoodie-Women-Men.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H90baa80ce55f48d195b21501dc127790y.jpg,https://ae04.alicdn.com/kf/H72267a4cb9f440508fcdf720ffa65d61k.jpg,https://ae04.alicdn.com/kf/Hb11e6bb3caaf4c19a9208f799292efa5L.jpg,https://ae04.alicdn.com/kf/H45c07bc5f6d84c8eb160ca81b53b554fO.jpg,https://ae04.alicdn.com/kf/Hec33c27809c94103804578359f287f146.jpg,",https://www.aliexpress.com/item/1005002454737128.html,18.54,12.98,9.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_AruToF
Hoodies & Sweatshirts,200000344,Spring and Autumn New Brand Men's Hoodie Cobra 3D Printing Hoodie Sweatshirt Boys Girls Fashion Harajuku Coat Clothes,1005002453574241,https://ae01.alicdn.com/kf/H749b26153dd5466d9cec545f9a15d182Z/Spring-and-Autumn-New-Brand-Men-s-Hoodie-Cobra-3D-Printing-Hoodie-Sweatshirt-Boys-Girls-Fashion.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H749b26153dd5466d9cec545f9a15d182Z.jpg,https://ae04.alicdn.com/kf/H14826b185b8a47f8b4a06c93d8c86f98U.jpg,https://ae04.alicdn.com/kf/Hb59b8f5f704642c6ba6cf52331afc296H.jpg,https://ae04.alicdn.com/kf/Hd6cde034d647456da8fadc630923f7d7F.jpg,https://ae04.alicdn.com/kf/H1a95b762e8434df594589cba638a4ff1W.jpg,",https://www.aliexpress.com/item/1005002453574241.html,14.80,6.66,9.00%,2098-12-31,55%,https://s.click.aliexpress.com/e/_ArmVhH
Hoodies & Sweatshirts,200000344,2021 Tracksuit Men 2 Pieces Set Sweatshirt + Sweatpants Sportswear Zipper Hoodies Casual Mens Clothing Ropa Hombre Size S-,1005002454827805,https://ae01.alicdn.com/kf/H5ca40ef95ad848299cea4cdecb28721es/2021-Tracksuit-Men-2-Pieces-Set-Sweatshirt-Sweatpants-Sportswear-Zipper-Hoodies-Casual-Mens-Clothing-Ropa-Hombre.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5ca40ef95ad848299cea4cdecb28721es.jpg,https://ae04.alicdn.com/kf/H4482c36a21cb4a008a7c24070973315bW.jpg,https://ae04.alicdn.com/kf/H2cedc90c28f94e8287266038f90a3384e.jpg,https://ae04.alicdn.com/kf/H39f84ec1ccc946279142d49dbffe8d3dD.jpg,https://ae04.alicdn.com/kf/Hb072f8ce0b924678b45c76761d5918358.jpg,",https://www.aliexpress.com/item/1005002454827805.html,19.99,12.99,9.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_992RGj
Hoodies & Sweatshirts,200000344,Men's Sweatshirt Casual Hip Hop Streetwear Loose Hoodies New Men Fashion Personality Letter Printed Hoodie Patchwork Tops,1005002450472790,https://ae01.alicdn.com/kf/H0298f7c5f09c45b780fe4baa31c66f71J/Men-s-Sweatshirt-Casual-Hip-Hop-Streetwear-Loose-Hoodies-New-Men-Fashion-Personality-Letter-Printed-Hoodie.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0298f7c5f09c45b780fe4baa31c66f71J.jpg,https://ae04.alicdn.com/kf/He24883ce77de4bc495f92085cf1f8195Z.jpg,https://ae04.alicdn.com/kf/H3236f4aa9ea343729d2e1df426652ed4a.jpg,https://ae04.alicdn.com/kf/Hcb5b36bb1fac4341b387a124765fa790S.jpg,https://ae04.alicdn.com/kf/H3dde265eedd44bf1ad7a23ad7b49db7cL.jpg,",https://www.aliexpress.com/item/1005002450472790.html,9.99,5.00,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AErsB9
Hoodies & Sweatshirts,200000344,2020 Winter Brand Tracksuits Men's sets Long Sleeve Pullover + Jogging Trousers 2pcs Sets Fitness Running Suits sportswer Male,1005002454824799,https://ae01.alicdn.com/kf/H171d740ad2ed436ab99bb96fa0e29aad9/2020-Winter-Brand-Tracksuits-Men-s-sets-Long-Sleeve-Pullover-Jogging-Trousers-2pcs-Sets-Fitness-Running.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H171d740ad2ed436ab99bb96fa0e29aad9.jpg,https://ae04.alicdn.com/kf/H0510ab6ea9e04e4e931009647f929a672.jpg,https://ae04.alicdn.com/kf/Heeb44c09477e4500af232723608d4520O.jpg,https://ae04.alicdn.com/kf/Hec3c6f90bb02414f988954a14ba65218s.jpg,https://ae04.alicdn.com/kf/Hd2fe6bd7b4084b83bf45349f23c41636y.jpg,",https://www.aliexpress.com/item/1005002454824799.html,21.19,13.77,9.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_98XcsP
Hoodies & Sweatshirts,200000344,2 Pieces Sets Tracksuit Men Autumn Zipper Hoodie Sweatshirt+pants Solid Sporting Fitness Hooded Outerwear Jacket Joggers Suit,1005002454807905,https://ae01.alicdn.com/kf/H4813698f2e8c42b2b666032b5a2a3c59Z/2-Pieces-Sets-Tracksuit-Men-Autumn-Zipper-Hoodie-Sweatshirt-pants-Solid-Sporting-Fitness-Hooded-Outerwear-Jacket.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4813698f2e8c42b2b666032b5a2a3c59Z.jpg,https://ae04.alicdn.com/kf/H12806c165933493d8ba24a43ad349e6aN.jpg,https://ae04.alicdn.com/kf/H04d1f72aaf884967bd685babea937f31F.jpg,https://ae04.alicdn.com/kf/H9c781f0faf5c44e99d690ee2cc65207bi.jpg,",https://www.aliexpress.com/item/1005002454807905.html,20.89,13.58,9.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_9i87Pt
Hoodies & Sweatshirts,200000344,Autumn and winter men's hooded sweatshirt drawstring suit sportswear 2021 men's casual suit,1005002454829816,https://ae01.alicdn.com/kf/H12806c165933493d8ba24a43ad349e6aN/Autumn-and-winter-men-s-hooded-sweatshirt-drawstring-suit-sportswear-2021-men-s-casual-suit.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H12806c165933493d8ba24a43ad349e6aN.jpg,https://ae04.alicdn.com/kf/Hf4ef670131134b2887d7b20ba78caa99u.jpg,https://ae04.alicdn.com/kf/H46176a9619664694a3b1459a6c055eaeI.jpg,https://ae04.alicdn.com/kf/H4813698f2e8c42b2b666032b5a2a3c59Z.jpg,",https://www.aliexpress.com/item/1005002454829816.html,20.89,13.58,9.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_ACRNld
Hoodies & Sweatshirts,200000344,Brand Clothing Men's Fashion Tracksuit Casual Sportsuit Men Hoodies Sweatshirts Sportswear Coat+Pant Men Set,1005002454826833,https://ae01.alicdn.com/kf/Hb76f5514d1a34491a884cb36b2e5cba0T/Brand-Clothing-Men-s-Fashion-Tracksuit-Casual-Sportsuit-Men-Hoodies-Sweatshirts-Sportswear-Coat-Pant-Men-Set.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb76f5514d1a34491a884cb36b2e5cba0T.jpg,https://ae04.alicdn.com/kf/H7013914deb1a45ba84ea4052801098d9C.jpg,https://ae04.alicdn.com/kf/Hb821a9a5022a4e61bd1a738a998c110ff.jpg,https://ae04.alicdn.com/kf/Hb19ba8f0ef344aeab21080da8eb74b40f.jpg,https://ae04.alicdn.com/kf/H39d32d1131e741ff9ac80b69acf516ac0.jpg,",https://www.aliexpress.com/item/1005002454826833.html,21.18,13.77,9.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_AUfgw3
