Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Leggings,200000865,2021 Sexy Yoga Pants Fitness Sports Leggings Jacquard Sports Leggings Female Running Trousers High Waist Yoga Tight Sports Pants,1005002577221972,https://ae01.alicdn.com/kf/H82572d2e0f544ef784617053f678625bq/2021-Sexy-Yoga-Pants-Fitness-Sports-Leggings-Jacquard-Sports-Leggings-Female-Running-Trousers-High-Waist-Yoga.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H82572d2e0f544ef784617053f678625bq.jpg,https://ae04.alicdn.com/kf/Hc72fc06ba3194a89b06b823b766731606.jpg,https://ae04.alicdn.com/kf/H1584f19aec3b446c9f48baba7bc81d50W.jpg,https://ae04.alicdn.com/kf/Hf18b9e2dbe824a64ae08a2c7e7b8033cV.jpg,https://ae04.alicdn.com/kf/Hf8741a8e861444d3bc12aee6cae1e7322.jpg,",https://www.aliexpress.com/item/1005002577221972.html,24.89,24.89,40.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9J7clt
Leggings,200000865,NORMOV Seamless Fitness Women Leggings Fashion Patchwork Print High Waist Elastic Push Up Ankle Length Polyester Leggings,1005002577808745,https://ae01.alicdn.com/kf/H531e313facdb4c18b97177aab4d566cfs/NORMOV-Seamless-Fitness-Women-Leggings-Fashion-Patchwork-Print-High-Waist-Elastic-Push-Up-Ankle-Length-Polyester.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H531e313facdb4c18b97177aab4d566cfs.jpg,https://ae04.alicdn.com/kf/H386ef68e72bb40979650137efa305272J.jpg,https://ae04.alicdn.com/kf/H2678a306eb95455f96979f1eca09d38b5.jpg,https://ae04.alicdn.com/kf/Hf031b3b25aa240319d6c805d9d8c83f2j.jpg,https://ae04.alicdn.com/kf/H3173bf329cc64fba9ca78815db03993db.jpg,",https://www.aliexpress.com/item/1005002577808745.html,22.82,22.82,40.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_Al3IMf
Leggings,200000865,Women Anti Sexy Yoga Pants Fitness Sport leggings Running Trousers Jacquard High Waist Sports Pants Female Grid Tights Yoga,1005002578064107,https://ae01.alicdn.com/kf/H06a3574483eb4354aa6c7f4d1452834bN/Women-Anti-Sexy-Yoga-Pants-Fitness-Sport-leggings-Running-Trousers-Jacquard-High-Waist-Sports-Pants-Female.png_220x220.png,"https://ae04.alicdn.com/kf/H06a3574483eb4354aa6c7f4d1452834bN.png,https://ae04.alicdn.com/kf/H3ccb336198b8421f8dffe92c10eda144O.jpg,https://ae04.alicdn.com/kf/Hc98ce18012c7441b8ecfb9cb636163319.png,https://ae04.alicdn.com/kf/H4ddc427ffaae4d869dc1ae8e90dd0667x.png,https://ae04.alicdn.com/kf/H8df87d20452a4aac8db89a0738e7ec83e.png,",https://www.aliexpress.com/item/1005002578064107.html,17.99,17.99,9.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_A1WYEL
Leggings,200000865,Seamless High-Waist Leggings Women Stretch Fitness Leggings Breathable Peach Hip Quick-Drying Running Leggings,1005002577880254,https://ae01.alicdn.com/kf/H9d6597620f3b49819a50d2321228c482B/Seamless-High-Waist-Leggings-Women-Stretch-Fitness-Leggings-Breathable-Peach-Hip-Quick-Drying-Running-Leggings.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9d6597620f3b49819a50d2321228c482B.jpg,https://ae04.alicdn.com/kf/H6152bafafa0745fc91c24933c2dde2916.jpg,https://ae04.alicdn.com/kf/H758916bf0c294f50ae6790e841bd70acA.jpg,https://ae04.alicdn.com/kf/H8a44a6afea244f46943901db1cecb505N.jpg,https://ae04.alicdn.com/kf/Ha5255eeae46947d78926054715c61395r.jpg,",https://www.aliexpress.com/item/1005002577880254.html,13.86,13.86,40.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AeSpJ1
Leggings,200000865,Push Up Leggings Women's Clothing Anti Cellulite Legging Fitness Black Leggins Sexy High Waist Legins Workout Plus Size Jeggings,1005002577854457,https://ae01.alicdn.com/kf/H8f1f951e8cda49eea5ab2bcfbe6a9de2W/Push-Up-Leggings-Women-s-Clothing-Anti-Cellulite-Legging-Fitness-Black-Leggins-Sexy-High-Waist-Legins.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8f1f951e8cda49eea5ab2bcfbe6a9de2W.jpg,https://ae04.alicdn.com/kf/H9c9b3f8621bd44389253b882fd05ca20W.jpg,https://ae04.alicdn.com/kf/H3842691ade0e46309a9572a64486134c9.jpg,https://ae04.alicdn.com/kf/H5a727312c4d44a1caaa26a30ae369f1ax.jpg,https://ae04.alicdn.com/kf/H44b0345383c3404b9cccdc7962870ddd9.jpg,",https://www.aliexpress.com/item/1005002577854457.html,18.82,18.82,40.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AKHbVl
Leggings,200000865,CUHAKCI Women Camouflage Leggings Fitness Military Army Green Leggings Workout Pants Sporter Skinny Adventure Leggins,1005002577805494,https://ae01.alicdn.com/kf/H27c3f9ee8b90405986e4de5f3189ea28Z/CUHAKCI-Women-Camouflage-Leggings-Fitness-Military-Army-Green-Leggings-Workout-Pants-Sporter-Skinny-Adventure-Leggins.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H27c3f9ee8b90405986e4de5f3189ea28Z.jpg,https://ae04.alicdn.com/kf/Hfc1ec73c3d9b46e8a3cfca4ef98fc5ccN.jpg,https://ae04.alicdn.com/kf/H90fc453887e44b1097cc84437c958480W.jpg,https://ae04.alicdn.com/kf/H852fda048ba9470ba97d7a558447f4cea.jpg,https://ae04.alicdn.com/kf/H9b4e8b831a7d41d9a8340c52ef7ceff31.jpg,",https://www.aliexpress.com/item/1005002577805494.html,9.88,9.88,40.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9gvNYF
Leggings,200000865,Women Leggings Sport Fitness Legging Push Up Sexy Yoga Pants Casual High Waist Plus Size Leggings Workout Clothes For Women,1005002577813365,https://ae01.alicdn.com/kf/H453955e08cf243128984d138cefe4ae50/Women-Leggings-Sport-Fitness-Legging-Push-Up-Sexy-Yoga-Pants-Casual-High-Waist-Plus-Size-Leggings.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H453955e08cf243128984d138cefe4ae50.jpg,https://ae04.alicdn.com/kf/H2543a5ef070041e8b95d9e18bb4cfe2dO.jpg,https://ae04.alicdn.com/kf/Hfc07da5efdf140c0982a7b48bda1d6c5f.jpg,https://ae04.alicdn.com/kf/H61370c994e3042fd8869965cd96f5534Y.jpg,https://ae04.alicdn.com/kf/He2cce3edc37f4e1f8fb8aceeecfdeecer.jpg,",https://www.aliexpress.com/item/1005002577813365.html,19.26,19.26,40.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_ABmn5H
Leggings,200000865,SOISOU New Yoga Pants Women Leggings For Fitness Nylon High Waist Long Pants Women Hip Push UP Tights Women Gym Clothing,1005002577309707,https://ae01.alicdn.com/kf/H5c728466bac14c6ab04165fc8d2a9849y/SOISOU-New-Yoga-Pants-Women-Leggings-For-Fitness-Nylon-High-Waist-Long-Pants-Women-Hip-Push.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5c728466bac14c6ab04165fc8d2a9849y.jpg,https://ae04.alicdn.com/kf/H5b83cae5f268473e97868d83fa1b76d0N.jpg,https://ae04.alicdn.com/kf/H519f8015315a455e8950766821aef3b5w.jpg,https://ae04.alicdn.com/kf/Ha3b7878e14134fa58791ec389fb9adebH.jpg,https://ae04.alicdn.com/kf/H62eee30b224148a5849f01c91255d21as.jpg,",https://www.aliexpress.com/item/1005002577309707.html,30.44,30.44,40.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AfDj2J
Leggings,200000865,Women Legging for Fitness High Waist Leggings Push Up Sports Leggings Women Sexy Slim Black Legging Sportswear,1005002576987663,https://ae01.alicdn.com/kf/H9b4b43df7f314581b50b2d65826713f42/Women-Legging-for-Fitness-High-Waist-Leggings-Push-Up-Sports-Leggings-Women-Sexy-Slim-Black-Legging.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9b4b43df7f314581b50b2d65826713f42.jpg,https://ae04.alicdn.com/kf/Hed2c2b4bca1c4dd98188831352aba9627.jpg,https://ae04.alicdn.com/kf/Hd14a3b034f57469da596db93b19cb97dd.jpg,https://ae04.alicdn.com/kf/H1eaed52b403e4bd4b667b67ae87a05370.jpg,https://ae04.alicdn.com/kf/Hf2b1a9422ac74a0b9834eca07633f820g.jpg,",https://www.aliexpress.com/item/1005002576987663.html,43.08,43.08,40.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9IRefd
Leggings,200000865,Ms melange of tall waist digital printing leisure exercise fitness yoga pants sexy goddess health leggings tights,1005002578000449,https://ae01.alicdn.com/kf/H9106e329182a4a6eb18dab09fd099f049/Ms-melange-of-tall-waist-digital-printing-leisure-exercise-fitness-yoga-pants-sexy-goddess-health-leggings.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9106e329182a4a6eb18dab09fd099f049.jpg,https://ae04.alicdn.com/kf/H2c53f088f0b4410d989ad24a2a81da5aS.jpg,https://ae04.alicdn.com/kf/H85455a36740b47a6925c1ebb7da1227eo.jpg,https://ae04.alicdn.com/kf/Hc7a613f4df4b47bd8b79409c43dca952D.jpg,https://ae04.alicdn.com/kf/H79b3251cf9494be38124068cd7c55dbfq.jpg,",https://www.aliexpress.com/item/1005002578000449.html,15.99,15.99,9.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_A4dMRz
