Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Novelty & Gag Toys,200001384,Anti-stress Squishy Classic Toy Plastic 3d Antistress Clone Fingerprint Needle Painting Gag Jokes Stress Relief Fun Toys Gift,1005002600414579,https://ae01.alicdn.com/kf/H3a50cd6328554a3eb0e02a7df607c39bQ/Anti-stress-Squishy-Classic-Toy-Plastic-3d-Antistress-Clone-Fingerprint-Needle-Painting-Gag-Jokes-Stress-Relief.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3a50cd6328554a3eb0e02a7df607c39bQ.jpg,https://ae04.alicdn.com/kf/H68ca6d68a8a442cfa7e1e18077ca21adB.jpg,https://ae04.alicdn.com/kf/H940d50dfbc3c400181cdb841a91594ca2.jpg,https://ae04.alicdn.com/kf/H1e995ad0357e4a569e2f9df4c8f737067.jpg,https://ae04.alicdn.com/kf/Haa1cb82e45bd44adaea46c85b8d4d9f4S.jpg,",https://www.aliexpress.com/item/1005002600414579.html,5.52,5.52,30.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9g9bmb
Novelty & Gag Toys,200001384,Squish Donald Trump Slow  Squeezing Toy Doll Stress Pressure Relief Toys,1005002597016267,https://ae01.alicdn.com/kf/H7d4397dac63c4e2f8043f3952b0534d4V/Squish-Donald-Trump-Slow-Squeezing-Toy-Doll-Stress-Pressure-Relief-Toys.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7d4397dac63c4e2f8043f3952b0534d4V.jpg,https://ae04.alicdn.com/kf/H637fadca5ddc47d5b633d9408392618bb.jpg,https://ae04.alicdn.com/kf/Haf7e22212312471dbb356d91680c1d20y.jpg,https://ae04.alicdn.com/kf/H6a832d414ed746739a3730ddbdda1aa66.jpg,https://ae04.alicdn.com/kf/H6f67e955138a4919869881900744dde05.jpg,",https://www.aliexpress.com/item/1005002597016267.html,3.55,3.55,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AYFi31
Novelty & Gag Toys,200001384,"44/150 Pcs, Assorted Plastic Tricks, Insects, Fake Insect Figures, Game Props Toys",1005002597159503,https://ae01.alicdn.com/kf/H3d5e6c2ca7fb429cb78ae491525a163cP/44-150-Pcs-Assorted-Plastic-Tricks-Insects-Fake-Insect-Figures-Game-Props-Toys.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3d5e6c2ca7fb429cb78ae491525a163cP.jpg,https://ae04.alicdn.com/kf/H14ee02837d79446b91b605b83dff7569h.jpg,https://ae04.alicdn.com/kf/Hb2bb41cab4b24adca636cfd6dbb46295W.jpg,https://ae04.alicdn.com/kf/Hcc5e097853a84d2ab4f979b2a2c32ee2T.jpg,https://ae04.alicdn.com/kf/H507b9a0ee5094680aadf3a81f33ce94eQ.jpg,",https://www.aliexpress.com/item/1005002597159503.html,2.58,2.58,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9QomqP
Novelty & Gag Toys,200001384,30ml Super Stinky Liquid Fart Terrible Smell Spray Long Lasting Smell Halloween Prank Toy Adults Children Spoof Odor Spray,1005002461608507,https://ae01.alicdn.com/kf/H38eaf326ae8248ef86cbb48859509938f/30ml-Super-Stinky-Liquid-Fart-Terrible-Smell-Spray-Long-Lasting-Smell-Halloween-Prank-Toy-Adults-Children.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H38eaf326ae8248ef86cbb48859509938f.jpg,https://ae04.alicdn.com/kf/Hc264c153d2a64e758f94676e4c33a3cdA.jpg,https://ae04.alicdn.com/kf/H64b909d7198e4408add5ccaf6aa04d394.jpg,https://ae04.alicdn.com/kf/H9cc6965eff0749159427e58e95efbf5e0.jpg,https://ae04.alicdn.com/kf/H06b79204809948d99a83faad3bebbe8ch.jpg,",https://www.aliexpress.com/item/1005002461608507.html,4.47,4.47,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AKYXFd
Novelty & Gag Toys,200001384,1set Random Style Battle Gyro Car Insect/Mech Models Toy Gift Competition Collision Christmas Inertia Rotating Finger Gyro O9K2,1005002252674755,https://ae01.alicdn.com/kf/Ha6669bc55c1745099cc4b30aa0395c44o/1set-Random-Style-Battle-Gyro-Car-Insect-Mech-Models-Toy-Gift-Competition-Collision-Christmas-Inertia-Rotating.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha6669bc55c1745099cc4b30aa0395c44o.jpg,https://ae04.alicdn.com/kf/H28d47ae792bd4b92b67c5d7bed152c9b1.jpg,https://ae04.alicdn.com/kf/H099f23d1960b4fcb85da4e31bcccef59n.jpg,https://ae04.alicdn.com/kf/H4ef03c95bf7e420c8492cd806db5c66b5.jpg,https://ae04.alicdn.com/kf/H137d8ce712eb45e882634b5205408e05D.jpg,",https://www.aliexpress.com/item/1005002252674755.html,1.96,1.96,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AAxsIf
Novelty & Gag Toys,200001384,Halloween Mask Skull Skeleton Mask Full Face Protector for Cosplay Masquerade Party,1005002561578217,https://ae01.alicdn.com/kf/Hbad09d11315e4b5799a566d01b809e51n/Halloween-Mask-Skull-Skeleton-Mask-Full-Face-Protector-for-Cosplay-Masquerade-Party.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hbad09d11315e4b5799a566d01b809e51n.jpg,https://ae04.alicdn.com/kf/Hb4338c1ea9ad4239aa9b96d6c8f80f52E.jpg,https://ae04.alicdn.com/kf/H59229faf68e045e2b522a80042f46337E.jpg,https://ae04.alicdn.com/kf/Hb55122affe2c412d82ffcb4410439739J.jpg,https://ae04.alicdn.com/kf/H4b76d52bbf714e14815d35f878948fc4S.jpg,",https://www.aliexpress.com/item/1005002561578217.html,3.34,3.34,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AeRiv9
Novelty & Gag Toys,200001384,Eye-catching Doll Pop Out Squishy Animal Antistress Toys Squeeze Soft Abreact Vent Toys Stress Relief Halloween Tricky Gifts,1005001658551745,https://ae01.alicdn.com/kf/H0cf684aac8394915aa637d715e52c0d1l/Eye-catching-Doll-Pop-Out-Squishy-Animal-Antistress-Toys-Squeeze-Soft-Abreact-Vent-Toys-Stress-Relief.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0cf684aac8394915aa637d715e52c0d1l.jpg,https://ae04.alicdn.com/kf/Hcb70924bc03643ca8aee5d2079e0de772.jpg,https://ae04.alicdn.com/kf/Had50469e89824224ab93005af424c118S.jpg,https://ae04.alicdn.com/kf/H11f472ae602b4175ad0e240d4f7bf32b6.jpg,https://ae04.alicdn.com/kf/H52897164b6eb46808112968dd574c204L.jpg,",https://www.aliexpress.com/item/1005001658551745.html,3.38,3.38,10.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AlhtOx
Novelty & Gag Toys,200001384,Wolf Mask Werewolf Mask Cosplay Animal Head Halloween Costume Zombi Mask Horror Werewolf Creepy Crawly Dracula Mask Wolf Mask,1005002353874705,https://ae01.alicdn.com/kf/Hd6265e6c605a442dab54ca3cdf3849c20/Wolf-Mask-Werewolf-Mask-Cosplay-Animal-Head-Halloween-Costume-Zombi-Mask-Horror-Werewolf-Creepy-Crawly-Dracula.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd6265e6c605a442dab54ca3cdf3849c20.jpg,https://ae04.alicdn.com/kf/H4d588fee696f4117a0cde14d4e37187ex.jpg,https://ae04.alicdn.com/kf/H91b34b616f0445849ae96fd59d65466ck.jpg,https://ae04.alicdn.com/kf/H64492a4c30b74d8ebe343830216ed6e7s.jpg,https://ae04.alicdn.com/kf/H469145c9a41542e898d9112e8a003327q.jpg,",https://www.aliexpress.com/item/1005002353874705.html,4.74,4.74,30.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9yu3LH
Novelty & Gag Toys,200001384,Thug Life Glasses Deal With It Glasses Pixel Women Men Black Sunglasses,1005002399036065,https://ae01.alicdn.com/kf/H3ee6575d09144666aded31cc13312ebd4/Thug-Life-Glasses-Deal-With-It-Glasses-Pixel-Women-Men-Black-Sunglasses.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3ee6575d09144666aded31cc13312ebd4.jpg,https://ae04.alicdn.com/kf/Hefdff5b6add34411943d132cddf2055ac.jpg,https://ae04.alicdn.com/kf/H581473896dfe4630ac561793f8469a9fr.jpg,https://ae04.alicdn.com/kf/H3b025411c4de498cbca629b72ca54658c.jpg,https://ae04.alicdn.com/kf/He08739623cd340fcaa3c075770848fa5C.jpg,",https://www.aliexpress.com/item/1005002399036065.html,2.57,2.57,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AtyZ8f
Novelty & Gag Toys,200001384,Flynova UFO Flying Fidget Spinner Hand Operated Mini Drone Induction Aircraft Toys Quadrocopter Dron Juguetes Wholesale,1005001288420180,https://ae01.alicdn.com/kf/H1f31e7f1eb8c459fbb0d25ca9e27b70fz/Flynova-UFO-Flying-Fidget-Spinner-Hand-Operated-Mini-Drone-Induction-Aircraft-Toys-Quadrocopter-Dron-Juguetes-Wholesale.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1f31e7f1eb8c459fbb0d25ca9e27b70fz.jpg,https://ae04.alicdn.com/kf/H0a6cd0c933fe4d4683a20dc7513a0af3r.jpg,https://ae04.alicdn.com/kf/H0d6cb1835e3c4a68946888a7e00d4b846.jpg,https://ae04.alicdn.com/kf/H231ca5a25a7a45adb1505abe2f4eec47D.jpg,https://ae04.alicdn.com/kf/H19b53002c0794523ae106156c36d94fdO.jpg,",https://www.aliexpress.com/item/1005001288420180.html,25.18,16.37,10.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_AFf1Bz
