Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Pants & Capris,200000366,Wholesale New Summer Arrivals Retro Extreme Black Wide Leg Ripped Jeans For Women,1005002405914159,https://ae01.alicdn.com/kf/Hfd8735e612364ebc9799d402cbcc0fd3E/Wholesale-New-Summer-Arrivals-Retro-Extreme-Black-Wide-Leg-Ripped-Jeans-For-Women.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hfd8735e612364ebc9799d402cbcc0fd3E.jpg,https://ae04.alicdn.com/kf/He621a579bdcc4f0088e3c5820b340b33i.jpg,https://ae04.alicdn.com/kf/Hc38d270a173849abb80c8529db70c548V.jpg,https://ae04.alicdn.com/kf/H729be00541834f7b99d52fef05d0c42bv.jpg,https://ae04.alicdn.com/kf/H69ea54b4aa664a57833d4b38a5bba024U.jpg,",https://www.aliexpress.com/item/1005002405914159.html,33.69,33.69,40.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9AzNNH
Pants & Capris,200000366,Sweatpants Joggers Women Deportivo Pantalones Cortos De Mujer Dresy Damskie Spodnie Dresowe Pantacourt Femme High Waist 2021,1005002538128320,https://ae01.alicdn.com/kf/H70754ab0b60c4960b0c3e963acfaea29t/Sweatpants-Joggers-Women-Deportivo-Pantalones-Cortos-De-Mujer-Dresy-Damskie-Spodnie-Dresowe-Pantacourt-Femme-High-Waist.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H70754ab0b60c4960b0c3e963acfaea29t.jpg,https://ae04.alicdn.com/kf/Hb84a7babeb2348dead6a7df9f378c67eI.jpg,https://ae04.alicdn.com/kf/Ha82e78ee3e15419f96ebe88d7eeccb72P.jpg,https://ae04.alicdn.com/kf/H93159454f17d424d8b6f0dad25fb3d8aH.jpg,https://ae04.alicdn.com/kf/H85f1f367007c4da0bf19189b69eccb8a5.jpg,",https://www.aliexpress.com/item/1005002538128320.html,7.41,7.41,50.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9xG7Dz
Pants & Capris,200000366,Stacked Pants Pantalones De Mujer Ropa Pantalon Pour Femme Vetement 2021 Women Roupas Femininas Aesthetic Streetwear Plus Size,1005002541446836,https://ae01.alicdn.com/kf/Hd5f90fd36cb941919cdefcf13ca337fdv/Stacked-Pants-Pantalones-De-Mujer-Ropa-Pantalon-Pour-Femme-Vetement-2021-Women-Roupas-Femininas-Aesthetic-Streetwear.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd5f90fd36cb941919cdefcf13ca337fdv.jpg,https://ae04.alicdn.com/kf/H91bba355ee50405eba9281e42bc58fb6Z.jpg,https://ae04.alicdn.com/kf/H90ba916d17c74eb2ab24e07b8cf52bd7r.jpg,https://ae04.alicdn.com/kf/Hca297af8be1344b8a83126af3f21bf910.jpg,https://ae04.alicdn.com/kf/H642a1e1abf0f4a1ba696f339c77a0374T.jpg,",https://www.aliexpress.com/item/1005002541446836.html,7.88,7.88,50.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AP6XQB
Pants & Capris,200000366,Stacked Pants Pantalones De Mujer Ropa Pantalon Pour Femme Vetement 2021 Women Clothing Roupas Femininas Trousers Hosen Damen,1005002539537311,https://ae01.alicdn.com/kf/H8578bcf52b0a4ce2acdcf68f7cb31119x/Stacked-Pants-Pantalones-De-Mujer-Ropa-Pantalon-Pour-Femme-Vetement-2021-Women-Clothing-Roupas-Femininas-Trousers.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8578bcf52b0a4ce2acdcf68f7cb31119x.jpg,https://ae04.alicdn.com/kf/H06ae5879c37f40f0a2145fd3c58f2fbbR.jpg,https://ae04.alicdn.com/kf/H5d9b0ef128214f939e0672775886e6dak.jpg,https://ae04.alicdn.com/kf/H36b689582ab941afbc0e77d891b288afw.jpg,https://ae04.alicdn.com/kf/H7af459f29cdf4ec2b65216d2c5baa8e8r.jpg,",https://www.aliexpress.com/item/1005002539537311.html,5.96,5.96,50.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AO49dN
Pants & Capris,200000366,Women Fashion Plaid Pleated High Waist Skinny Pencil Pants Trousers with Sash Pencil Pants Trousers Pencil Pants Trousers women,1005002577938281,https://ae01.alicdn.com/kf/Hb211af6d2fbb478d903a41ea18e89846i/Women-Fashion-Plaid-Pleated-High-Waist-Skinny-Pencil-Pants-Trousers-with-Sash-Pencil-Pants-Trousers-Pencil.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb211af6d2fbb478d903a41ea18e89846i.jpg,https://ae04.alicdn.com/kf/Ha2bf9b1193344cb7ba644e0f9db66623F.jpg,https://ae04.alicdn.com/kf/Hc18fc1dd8dc949019b47363c205dcccfL.jpg,https://ae04.alicdn.com/kf/H01d204f061a04cd1abcd5884312934a6g.jpg,https://ae04.alicdn.com/kf/Hf15036f635db461a8aacf93d43597682M.jpg,",https://www.aliexpress.com/item/1005002577938281.html,9.58,9.58,40.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_Abw4oJ
Pants & Capris,200000366,White Pants Women Pantalones De Mujer Pour Aesthetic Trousers Streetwear Spodnie Damskie Knee Length Pantaloni Donna Blanc 2021,1005002541868160,https://ae01.alicdn.com/kf/Hbec1c8f559f145a98738e2842d665889w/White-Pants-Women-Pantalones-De-Mujer-Pour-Aesthetic-Trousers-Streetwear-Spodnie-Damskie-Knee-Length-Pantaloni-Donna.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hbec1c8f559f145a98738e2842d665889w.jpg,https://ae04.alicdn.com/kf/He056afe5991a456984e4cce202b0e592A.jpg,https://ae04.alicdn.com/kf/H52e7df40130c462ebfe70f9801ba704dU.jpg,https://ae04.alicdn.com/kf/H699b47a963c946deaa58caea52b650efQ.jpg,https://ae04.alicdn.com/kf/Ha5f7f4c788c542fd9861757d17d5769cH.jpg,",https://www.aliexpress.com/item/1005002541868160.html,6.86,6.86,50.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AOQ61h
Pants & Capris,200000366,Plaid Pants Women Streetwear Cool Girl High Waist Trousers harem sweatpants joggers women cargo sweat pants korean pantalon,1005002577968106,https://ae01.alicdn.com/kf/Hc280a9e98174452f847291848b04fa24m/Plaid-Pants-Women-Streetwear-Cool-Girl-High-Waist-Trousers-harem-sweatpants-joggers-women-cargo-sweat-pants.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc280a9e98174452f847291848b04fa24m.jpg,https://ae04.alicdn.com/kf/H3d5b2f268fc84a39a5a8f4e5a448c3a0S.jpg,https://ae04.alicdn.com/kf/Heec067bc72d849e59317f9455b0b4abfe.jpg,https://ae04.alicdn.com/kf/Hdb44397e7f0a49cc83dbcb28001330f7D.jpg,https://ae04.alicdn.com/kf/H1feb45298c9c4fd7801a06e110303882N.jpg,",https://www.aliexpress.com/item/1005002577968106.html,31.58,31.58,40.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9A3PR1
Pants & Capris,200000366,Faux Leather Pants Women Pantalon Cuir Femme Pantalones De Mujer Pour Aesthetic Trousers Streetwear Spodnie Damskie Black 2021,1005002541696698,https://ae01.alicdn.com/kf/H0e6daa1773e349c68fd38da30b705f72i/Faux-Leather-Pants-Women-Pantalon-Cuir-Femme-Pantalones-De-Mujer-Pour-Aesthetic-Trousers-Streetwear-Spodnie-Damskie.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0e6daa1773e349c68fd38da30b705f72i.jpg,https://ae04.alicdn.com/kf/Hc7cc6d0a6af14b01a7089601eb351a7dq.jpg,https://ae04.alicdn.com/kf/Hfa368256c9774d50a4748f9c2a1043998.jpg,https://ae04.alicdn.com/kf/H75805ed3518149ddaba883f3695eddd1a.jpg,https://ae04.alicdn.com/kf/H2856eae8d2464f5a81b2493e53d24998h.jpg,",https://www.aliexpress.com/item/1005002541696698.html,8.85,8.85,50.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_ApNPt5
Pants & Capris,200000366,LALUMAI High Waist Solid step on sexy pants Women Workout Push Up pant Fashion Solid Color Bodybuilding Jeggings Women Pants,1005002577472504,https://ae01.alicdn.com/kf/Hc5f03c595f594eb89c6a910b3f6e08b9y/LALUMAI-High-Waist-Solid-step-on-sexy-pants-Women-Workout-Push-Up-pant-Fashion-Solid-Color.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc5f03c595f594eb89c6a910b3f6e08b9y.jpg,https://ae04.alicdn.com/kf/H4cf3a4ae3755456c9ba364922a39cfb6k.jpg,https://ae04.alicdn.com/kf/H4a752eccd3634adba48464c3e26470959.jpg,https://ae04.alicdn.com/kf/H17caf25059f742ffb03b964c5dd17e65J.jpg,https://ae04.alicdn.com/kf/H2c7b9ddbe59c4d738e93473c2ce78db23.jpg,",https://www.aliexpress.com/item/1005002577472504.html,17.84,17.84,9.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AVgpeR
Pants & Capris,200000366,Leggings Women Wear Spring Thin Section 2020 New Small Feet Wild Small Black Pants High Waist Was Thin Black Pants,1005002577913534,https://ae01.alicdn.com/kf/H2e0ae425e8384ab882b63ec7a04aaa5by/Leggings-Women-Wear-Spring-Thin-Section-2020-New-Small-Feet-Wild-Small-Black-Pants-High-Waist.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2e0ae425e8384ab882b63ec7a04aaa5by.jpg,https://ae04.alicdn.com/kf/Hdad0612d30ab489f868140b2f8c156fbD.jpg,https://ae04.alicdn.com/kf/Hdf9ac7ff3f4d4f3f9942e5e25bd7edd7z.jpg,https://ae04.alicdn.com/kf/H2e312b16984640099529c817da68bd91z.jpg,https://ae04.alicdn.com/kf/Hb47725d92e014f74aa6f42a6d50fcc68i.jpg,",https://www.aliexpress.com/item/1005002577913534.html,44.77,44.77,40.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_ArTC0n
Pants & Capris,200000366,Cargo Pants Women Pantalon Femme Pantalones Kargo Flares Baggy Ample Mujer Trousers Pantaloni Donna Spodnie Broeken Dames 2021,1005002538426385,https://ae01.alicdn.com/kf/Hce96a7c5abb044c78aa7e4054c2dfba4F/Cargo-Pants-Women-Pantalon-Femme-Pantalones-Kargo-Flares-Baggy-Ample-Mujer-Trousers-Pantaloni-Donna-Spodnie-Broeken.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hce96a7c5abb044c78aa7e4054c2dfba4F.jpg,https://ae04.alicdn.com/kf/H73e5ee96ab4c4fd1997b14beeacd563fy.jpg,https://ae04.alicdn.com/kf/Hbaa30c1d87bd4326b460c69f5fa74c0bz.jpg,https://ae04.alicdn.com/kf/H936ce43cc46a4d959fc2c5d0576907c5C.jpg,https://ae04.alicdn.com/kf/H1782bd6bdf164e3aa7b9a953d034a2fbp.jpg,",https://www.aliexpress.com/item/1005002538426385.html,13.48,13.48,50.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_99XSTl
Pants & Capris,200000366,This Zebra Print Wide Leg Pants Trousers Sexy High Waist Autumn Women New 2021 Fashion Casual Female Trousers Streetwear,1005002443859194,https://ae01.alicdn.com/kf/H632709d4d2614394950959ccae6d01ebQ/This-Zebra-Print-Wide-Leg-Pants-Trousers-Sexy-High-Waist-Autumn-Women-New-2021-Fashion-Casual.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H632709d4d2614394950959ccae6d01ebQ.jpg,https://ae04.alicdn.com/kf/H551c67c801ab457aa9a5e489640ac021w.jpg,https://ae04.alicdn.com/kf/H3ea002a78b1c4fe994239938dde11c0aD.jpg,https://ae04.alicdn.com/kf/Hcdc318c1f94843ecb0dc32070a1d0eb9v.jpg,https://ae04.alicdn.com/kf/H3f24141a03ad421c8b860b2e9265713en.jpg,",https://www.aliexpress.com/item/1005002443859194.html,45.69,45.69,40.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9Hfcbd
Pants & Capris,200000366,Wide Leg Pants Pantalon Large Baggy High Waist Women Femme Taille Haute Pantalones Anchos Mujer Jambe Pour Trousers Spodnie 2021,1005002537976531,https://ae01.alicdn.com/kf/H0d90eee272f54a13b3d9b95f85ede22fY/Wide-Leg-Pants-Pantalon-Large-Baggy-High-Waist-Women-Femme-Taille-Haute-Pantalones-Anchos-Mujer-Jambe.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0d90eee272f54a13b3d9b95f85ede22fY.jpg,https://ae04.alicdn.com/kf/He62f3d5eb7454c79811c259766d7a6c4R.jpg,https://ae04.alicdn.com/kf/Hcdca230521d64c6f874134bb797e6103A.jpg,https://ae04.alicdn.com/kf/H03f3f707ed6d4a76a159be27a021abc1C.jpg,https://ae04.alicdn.com/kf/H9bc8de10b9eb44958fb15bf55713915d9.jpg,",https://www.aliexpress.com/item/1005002537976531.html,11.75,11.75,50.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AkbjAf
Pants & Capris,200000366,White Black Pants Casual Women Pantalones De Mujer Pour Aesthetic Trousers Streetwear Spodnie Damskie Pantaloni Pantalon 2021,1005002541961365,https://ae01.alicdn.com/kf/H67c0b196cdea4baa8a3d4d25632e413fA/White-Black-Pants-Casual-Women-Pantalones-De-Mujer-Pour-Aesthetic-Trousers-Streetwear-Spodnie-Damskie-Pantaloni-Pantalon.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H67c0b196cdea4baa8a3d4d25632e413fA.jpg,https://ae04.alicdn.com/kf/H74806e3683b34d23aa4a889f5e065051e.jpg,https://ae04.alicdn.com/kf/H96a8f28818d84412bc340ae5f61cdfddD.jpg,https://ae04.alicdn.com/kf/H2df582524da74974bdbda0785dcf9eb42.jpg,https://ae04.alicdn.com/kf/He3c6ddba5b6a4788ba47258b2804f8c2U.jpg,",https://www.aliexpress.com/item/1005002541961365.html,6.21,6.21,50.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AcWp9l
Pants & Capris,200000366,YILINHAN 90s Streetwear Patchwork New Jeans for Women Straight Harajuku High Waist Pants Denim  Plus Size Long Trousers Female,1005002578041854,https://ae01.alicdn.com/kf/H09e7180c4d094db38cd46c162b53e48a9/YILINHAN-90s-Streetwear-Patchwork-New-Jeans-for-Women-Straight-Harajuku-High-Waist-Pants-Denim-Plus-Size.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H09e7180c4d094db38cd46c162b53e48a9.jpg,https://ae04.alicdn.com/kf/H5431a876c53248ff9de0dc60e9037a4eX.jpg,https://ae04.alicdn.com/kf/H53edab598b9d4ad280a1bd8365eb74daz.jpg,https://ae04.alicdn.com/kf/H56cb331398674744a1644d8c3acc3363F.jpg,https://ae04.alicdn.com/kf/Hf3284e9340ee4d58b2713e72e6eb5b6aJ.jpg,",https://www.aliexpress.com/item/1005002578041854.html,41.00,41.00,9.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AWMmT5
Pants & Capris,200000366,Large Size Summer Modal Thermal Pants Solid Color Ankel Length Wide Leg Pants High Elastic Loose Big Sleepwear Pants for Women,1005002577826510,https://ae01.alicdn.com/kf/H0388a878e19c4b4ca0da6d9e1e9001c9j/Large-Size-Summer-Modal-Thermal-Pants-Solid-Color-Ankel-Length-Wide-Leg-Pants-High-Elastic-Loose.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0388a878e19c4b4ca0da6d9e1e9001c9j.jpg,https://ae04.alicdn.com/kf/Hcf49a96b633446bd96c3e83a5b99514dt.jpg,https://ae04.alicdn.com/kf/He5892c53b82f4fd48127f1db81cb1e9cF.jpg,https://ae04.alicdn.com/kf/H5251ff96757148f1852f6a545d01fbd23.jpg,https://ae04.alicdn.com/kf/Ha9fcc079172b4cc0996d4d585b9515417.jpg,",https://www.aliexpress.com/item/1005002577826510.html,34.88,34.88,11.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9y0YW3
