Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Team Sports,200378143,2021 Top Children Kid Team Sports Football Soccer Training Pinnies Jerseys Train Bib Vest,1005001890306403,https://ae01.alicdn.com/kf/H0851544a45ec4ea09e7648ea1677b1fdy/2021-Top-Children-Kid-Team-Sports-Football-Soccer-Training-Pinnies-Jerseys-Train-Bib-Vest.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0851544a45ec4ea09e7648ea1677b1fdy.jpg,https://ae04.alicdn.com/kf/H56c8c1254f9a48d5883edde429e44102Y.jpg,https://ae04.alicdn.com/kf/Hc0dd3466c2104a0896fd8c081b6be781d.jpg,https://ae04.alicdn.com/kf/Hd8c48adfb17d468698525344f93e6028I.jpg,https://ae04.alicdn.com/kf/Hd198ec6ea30a4823a7752ad68c51becas.jpg,",https://www.aliexpress.com/item/1005001890306403.html,4.04,4.04,10.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9jvHgz
Team Sports,200378143,46mm Plastic Coin Holder Capsule Storage Case Display Box With 5 Sizes Pad Rings Clear Container Box Collection Display,1005002559046222,https://ae01.alicdn.com/kf/Hbe7a0cfd28124860af05f0d6b8d8a3e0m/46mm-Plastic-Coin-Holder-Capsule-Storage-Case-Display-Box-With-5-Sizes-Pad-Rings-Clear-Container.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hbe7a0cfd28124860af05f0d6b8d8a3e0m.jpg,https://ae04.alicdn.com/kf/Hb3e6436d26104f41b6837b5d588015f15.jpg,https://ae04.alicdn.com/kf/H736d722d1db9469288ea4e3be48071b67.jpg,https://ae04.alicdn.com/kf/Hcd2c65743cf3436c84b51fd67d8e6b0fF.jpg,https://ae04.alicdn.com/kf/Hada3269ee91a47d6bb819e7f53460451A.jpg,",https://www.aliexpress.com/item/1005002559046222.html,2.73,2.73,10.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AoQmbJ
Team Sports,200378143,TPU material quality sports latest football game training ball pentagon pattern standard game ball official specification ball,1005002596929350,https://ae01.alicdn.com/kf/Hc6bfaa601c0942d09aeabf6535a5b35ch/TPU-material-quality-sports-latest-football-game-training-ball-pentagon-pattern-standard-game-ball-official-specification.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc6bfaa601c0942d09aeabf6535a5b35ch.jpg,https://ae04.alicdn.com/kf/H03e2714f8fb649d3ac5dd85d673aa49a5.jpg,https://ae04.alicdn.com/kf/H1175e2ccfe0f4b17b21da9cdf047f0a6H.jpg,https://ae04.alicdn.com/kf/H73a8d0826e1a4f17b473ba153d7f50feF.jpg,https://ae04.alicdn.com/kf/H84d24a8f72664db4abe590e307501c15m.jpg,",https://www.aliexpress.com/item/1005002596929350.html,11.06,11.06,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9w7Mql
Team Sports,200378143,Disney Iron Man No. 7 Basketball Youth Dedicated Practice Indoor and Outdoor Wear-resistant Non-slip Kindergarten Training Ball,1005002598215762,https://ae01.alicdn.com/kf/Hd100f6e0b83640979e9df4c187de44ccl/Disney-Iron-Man-No-7-Basketball-Youth-Dedicated-Practice-Indoor-and-Outdoor-Wear-resistant-Non-slip.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd100f6e0b83640979e9df4c187de44ccl.jpg,https://ae04.alicdn.com/kf/H388d996893cc436391c70821b8c560a3q.jpg,https://ae04.alicdn.com/kf/H4576fb9d02f14dfb8f8591763b9eba49n.jpg,https://ae04.alicdn.com/kf/H97f54d2bd1cb4bda8e1f9d81a264b505V.jpg,https://ae04.alicdn.com/kf/H8cc5e411e3784e7ba152d352fb81bb20S.jpg,",https://www.aliexpress.com/item/1005002598215762.html,72.00,72.00,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_ArfiXB
Team Sports,200378143,"A suit bag, 1 set of red and yellow cards, recording paper and pen, 1 edge picker, 2 sling whistles, 1 barometer",1005002604891715,https://ae01.alicdn.com/kf/H8c12b6c8dbf1479c9f7ca4aece1d96a5v/A-suit-bag-1-set-of-red-and-yellow-cards-recording-paper-and-pen-1-edge.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8c12b6c8dbf1479c9f7ca4aece1d96a5v.jpg,https://ae04.alicdn.com/kf/H0f8590e096894dd99067e9e6e077ed21u.jpg,https://ae04.alicdn.com/kf/Hd636f045699a40e99275f6cb3274b387x.png,https://ae04.alicdn.com/kf/H3e20489c93db4080b66697e74aee4d68Q.png,https://ae04.alicdn.com/kf/H44ecd66579dd4d89b69a3fd22678e249P.png,",https://www.aliexpress.com/item/1005002604891715.html,16.34,16.34,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_99Gm6d
Team Sports,200378143,No. 5 Middle School Student Special Physical Examination Soft Hard Row No. 5 Training Competition Sports,1005002611637738,https://ae01.alicdn.com/kf/H8604390e331245009e463657d2f690a2K/No-5-Middle-School-Student-Special-Physical-Examination-Soft-Hard-Row-No-5-Training-Competition-Sports.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8604390e331245009e463657d2f690a2K.jpg,https://ae04.alicdn.com/kf/H382d19088b8b4906b29215a68501bb3bU.jpg,https://ae04.alicdn.com/kf/H85a55856b43c4232a083f16fbf6e84764.jpg,https://ae04.alicdn.com/kf/Hf6088101b59a4446819e94f8c43bc17c4.jpg,https://ae04.alicdn.com/kf/H96a567d0459643a88b6940718fe37dd2y.jpg,",https://www.aliexpress.com/item/1005002611637738.html,182.62,182.62,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AMP0jr
Team Sports,200378143,2021 Top Team Training Scrimmage Vests Soccer Basketball Youth Adult Pinnies Jerseys New,1005001890216747,https://ae01.alicdn.com/kf/H3ffbb00ab0d9446a97196ade94a38240D/2021-Top-Team-Training-Scrimmage-Vests-Soccer-Basketball-Youth-Adult-Pinnies-Jerseys-New.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3ffbb00ab0d9446a97196ade94a38240D.jpg,https://ae04.alicdn.com/kf/Hab668f24a08049f98dd553b22c77c4afc.jpg,https://ae04.alicdn.com/kf/H5f07f5afde4f412f9fa3791fc3394645x.jpg,https://ae04.alicdn.com/kf/Hfd31d4f028184360bda8188570760c18D.jpg,https://ae04.alicdn.com/kf/Hbf1cdbf49e074e669c9433da05df3e6cs.jpg,",https://www.aliexpress.com/item/1005001890216747.html,1.58,1.31,10.00%,2098-12-31,17%,https://s.click.aliexpress.com/e/_A6a7xj
Team Sports,200378143,PVC material quality sports latest volleyball game training ball standard game ball official specification volleyball,1005002594527293,https://ae01.alicdn.com/kf/Hd8ca95455b384b819b0218f6500583169/PVC-material-quality-sports-latest-volleyball-game-training-ball-standard-game-ball-official-specification-volleyball.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd8ca95455b384b819b0218f6500583169.jpg,https://ae04.alicdn.com/kf/Hace04b4a7aa445c183b9ebada4a4bad7u.jpg,https://ae04.alicdn.com/kf/Hecf09f7d23714c469e8be1d36d9a7dc1P.jpg,https://ae04.alicdn.com/kf/H0477e7819eb74a93aedf4a9adbf7fe761.jpg,https://ae04.alicdn.com/kf/Hbfb6bbac88014814a887772eaac4c9b5L.jpg,",https://www.aliexpress.com/item/1005002594527293.html,2.40,2.40,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_ACI8TR
Team Sports,200378143,1 piece of  whistle football basketball hockey baseball sports referee whistle toy whistle referee game supplies,1005002605046046,https://ae01.alicdn.com/kf/H4b78bfe30b294dc48689b0ab8376fd619/1-piece-of-whistle-football-basketball-hockey-baseball-sports-referee-whistle-toy-whistle-referee-game-supplies.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4b78bfe30b294dc48689b0ab8376fd619.jpg,https://ae04.alicdn.com/kf/H09e655466eda4abd8a0ba424ff80486fU.jpg,https://ae04.alicdn.com/kf/H5208aff5417745afa9708f949de52280e.jpg,https://ae04.alicdn.com/kf/H45803ab1761d44a8bdf2890bb09b78bdG.jpg,https://ae04.alicdn.com/kf/Hd7aa9524eb754130a1b23f241c5af46aY.jpg,",https://www.aliexpress.com/item/1005002605046046.html,2.08,2.08,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_ANFOp7
Team Sports,200378143,No. 4 Children No. 5 Adult Training Competition Primary School Students Wear-Resistant Special Kindergarten Ball,1005002611397434,https://ae01.alicdn.com/kf/Hf6e270b53c4444e68d909e6c6e8544ceK/No-4-Children-No-5-Adult-Training-Competition-Primary-School-Students-Wear-Resistant-Special-Kindergarten-Ball.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf6e270b53c4444e68d909e6c6e8544ceK.jpg,https://ae04.alicdn.com/kf/Hb5fb6887f14f42988839221ae9dc9056d.jpg,https://ae04.alicdn.com/kf/H596b02645434428997b3e10f690d4e28M.jpg,https://ae04.alicdn.com/kf/H56883ec0c8b84cc7902e60a0bc0c2f97i.jpg,",https://www.aliexpress.com/item/1005002611397434.html,219.76,219.76,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9jnu4Z
