Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Women's Handbags,201336907,2020 New The Pouch Genuine Leather Chain Envelope Bag Voluminous Round Shape Purses and Handbags Clutches Famous Brand Designer,1005002500610053,https://ae01.alicdn.com/kf/Hc4bc5ea5648b4713be318450466c82f2q/2020-New-The-Pouch-Genuine-Leather-Chain-Envelope-Bag-Voluminous-Round-Shape-Purses-and-Handbags-Clutches.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc4bc5ea5648b4713be318450466c82f2q.jpg,https://ae04.alicdn.com/kf/H266957b09b564ed2975f4b6031f31920w.jpg,https://ae04.alicdn.com/kf/Hf149d6f607d543e6a0d83769d82cb2dc9.jpg,https://ae04.alicdn.com/kf/Hbae1f97f7d274644aba2d75fb4691889A.jpg,https://ae04.alicdn.com/kf/H6f375d3ff0a74c3c9e3c0bd0fca167e1a.jpg,",https://www.aliexpress.com/item/1005002500610053.html,89.91,89.91,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9yfD1H
Women's Handbags,201336907,Summer 2020 Women's Small 100% Genuine Leather Handbags Female Knot Croissant Bag High Quality Real Leather Designer Totes Bag,1005002500491905,https://ae01.alicdn.com/kf/Hf94d4d40cfad4b11b29807e36bdbd272q/Summer-2020-Women-s-Small-100-Genuine-Leather-Handbags-Female-Knot-Croissant-Bag-High-Quality-Real.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf94d4d40cfad4b11b29807e36bdbd272q.jpg,https://ae04.alicdn.com/kf/Hf9fbadb0322f4a4a932d8390c76528249.jpg,https://ae04.alicdn.com/kf/H6b227f31122047839764681df08331afX.jpg,https://ae04.alicdn.com/kf/H3b2bf77cdd6940338673ec38e76ec3ccg.jpg,https://ae04.alicdn.com/kf/H05be07bbc5e74621af5a690127cb2000Q.jpg,",https://www.aliexpress.com/item/1005002500491905.html,70.20,70.20,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_A3bvn1
Women's Handbags,201336907,New Designer Women Bucket Bags Quality Sheepskin Shoulder Bag Handmade Woven Crossbody Bags Lady Messenger Bag Lambskin Purse,1005002500507655,https://ae01.alicdn.com/kf/Hf4e4d5fbc1304be4b4709ff8224c9f01O/New-Designer-Women-Bucket-Bags-Quality-Sheepskin-Shoulder-Bag-Handmade-Woven-Crossbody-Bags-Lady-Messenger-Bag.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf4e4d5fbc1304be4b4709ff8224c9f01O.jpg,https://ae04.alicdn.com/kf/H044fee47dcda42b78195a2f3d3778309m.jpg,https://ae04.alicdn.com/kf/H97fad747259a4c28a3000bcc651db174I.jpg,https://ae04.alicdn.com/kf/Hc35727046bf34a3a8371eaf8dc81a4aeZ.jpg,https://ae04.alicdn.com/kf/Hf0b3885a5a8b4d8498bb94da958496ecr.jpg,",https://www.aliexpress.com/item/1005002500507655.html,114.63,114.63,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AXq6xl
Women's Handbags,201336907,Luxury Bags leopard Tiger Crystal Evening Bags Women Wedding Clutch Bags Female Purses and handbags Party diamond painting chain,1005002500473866,https://ae01.alicdn.com/kf/He685c25aaee8418d94e10f16b7fe922bE/Luxury-Bags-leopard-Tiger-Crystal-Evening-Bags-Women-Wedding-Clutch-Bags-Female-Purses-and-handbags-Party.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He685c25aaee8418d94e10f16b7fe922bE.jpg,https://ae04.alicdn.com/kf/H507fff18e98b422c94144c9f440b966eR.jpg,https://ae04.alicdn.com/kf/Hca92a19799554813a441b3de1d9b9d20C.jpg,https://ae04.alicdn.com/kf/H4af101613fe644b58bc240613b9bfe4bP.jpg,https://ae04.alicdn.com/kf/H7fa5959996364ed4b0773d3e453d64c4J.jpg,",https://www.aliexpress.com/item/1005002500473866.html,97.44,97.44,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9flytt
Women's Handbags,201336907,Mini Real Leather Bag Small Dumpling Pouch Neck Belt Bag Special Evening Party Bag Lipstick Purses Pillow Messenger Bag Handbags,1005002500529805,https://ae01.alicdn.com/kf/H92d1e36318514f1fbb798779f419e7a2i/Mini-Real-Leather-Bag-Small-Dumpling-Pouch-Neck-Belt-Bag-Special-Evening-Party-Bag-Lipstick-Purses.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H92d1e36318514f1fbb798779f419e7a2i.jpg,https://ae04.alicdn.com/kf/H6064edaf528e492382e8092b0c6535eaW.jpg,https://ae04.alicdn.com/kf/H2d9eb4fcddda45e5bb7259ad5d78ece74.jpg,https://ae04.alicdn.com/kf/H6f806bb2810b4be5a897b69a2c3f3564y.jpg,https://ae04.alicdn.com/kf/H69f15183676d4fcc896985bc632dccd8O.jpg,",https://www.aliexpress.com/item/1005002500529805.html,47.46,47.46,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_Ak2463
Women's Handbags,201336907,Folding Triangle Color Matching Handbags For Female Large Capacity Cone Shoulder Bag For Woman Vintage Daily Handbag Ladies New,1005002500482835,https://ae01.alicdn.com/kf/Hc672b5f584ec4928a35ad430695271f54/Folding-Triangle-Color-Matching-Handbags-For-Female-Large-Capacity-Cone-Shoulder-Bag-For-Woman-Vintage-Daily.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc672b5f584ec4928a35ad430695271f54.jpg,https://ae04.alicdn.com/kf/Hf162758c11314fe18d47a28daec97007s.jpg,https://ae04.alicdn.com/kf/H6027708d5eb24999a99d5e743988ed2bu.jpg,https://ae04.alicdn.com/kf/H1ed1276e06b846a6af0fb87a8256ce8eD.jpg,https://ae04.alicdn.com/kf/Hd5e1fc9bfeaf4fc39c417213ffcd59049.jpg,",https://www.aliexpress.com/item/1005002500482835.html,32.72,32.72,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_A0Verz
Women's Handbags,201336907,Acrylic Basket Evening Clutch Bag Women Hollow Out Stone Pattern Half Moon Acrylic Beach Handbag Beaded Shoulder Bag Holiday,1005002500483862,https://ae01.alicdn.com/kf/Hdceddfb408384511a369baf3376f2b31Z/Acrylic-Basket-Evening-Clutch-Bag-Women-Hollow-Out-Stone-Pattern-Half-Moon-Acrylic-Beach-Handbag-Beaded.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hdceddfb408384511a369baf3376f2b31Z.jpg,https://ae04.alicdn.com/kf/H8d8bd710c3cc41b39668591f4aa685287.jpg,https://ae04.alicdn.com/kf/H314d424e96614422a84abb9cd1c734beH.jpg,https://ae04.alicdn.com/kf/Hbbd99d5779d14984a0034c6cadccff6as.jpg,https://ae04.alicdn.com/kf/Hcb2eee4a538b4348ade656db615735c2Q.jpg,",https://www.aliexpress.com/item/1005002500483862.html,49.05,49.05,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_Ap7Q4J
Women's Handbags,201336907,winter fashion Bags For Women 2020 Soft Furry Bags Luxury designer brand Handbag faux fur kawaii small bag Shoulders purse Bags,1005002500315415,https://ae01.alicdn.com/kf/Heec8e50e06b4448eb2140f3b94453377B/winter-fashion-Bags-For-Women-2020-Soft-Furry-Bags-Luxury-designer-brand-Handbag-faux-fur-kawaii.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Heec8e50e06b4448eb2140f3b94453377B.jpg,https://ae04.alicdn.com/kf/H2dffe4f6f83f4891a07d06777932e7064.jpg,https://ae04.alicdn.com/kf/H473f58f742574515af659f04dde2c0f06.jpg,https://ae04.alicdn.com/kf/Hc2be4e89e3454d31bedb5e74401212989.jpg,https://ae04.alicdn.com/kf/H01cee6e9f38c4ff19d9a9eb8e945579aI.jpg,",https://www.aliexpress.com/item/1005002500315415.html,57.89,57.89,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AVQgaT
Women's Handbags,201336907,rainbow jelly bag bags for women 2020 summer new purses and handbags luxury bags famous brand designer mini bag crossbody bags,1005002500362140,https://ae01.alicdn.com/kf/H10c7de5340604e698ba356a003b10d79q/rainbow-jelly-bag-bags-for-women-2020-summer-new-purses-and-handbags-luxury-bags-famous-brand.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H10c7de5340604e698ba356a003b10d79q.jpg,https://ae04.alicdn.com/kf/H0f1e92fafd20467c8c372c1e766817e5n.jpg,https://ae04.alicdn.com/kf/H83b7dd49609f4ece9b00f12abdb5f4ddb.jpg,https://ae04.alicdn.com/kf/H227e4c5c56744df28dd9d715ce7dd789s.jpg,https://ae04.alicdn.com/kf/Hc6e32b681f154634a8d60e93660c55d7S.jpg,",https://www.aliexpress.com/item/1005002500362140.html,44.60,44.60,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9ydkd1
Women's Handbags,201336907,Bags For Women famous brand women handbags womens' pouch Crystal Diamond Leather Female korean style women's bags crossbody bag,1005002500476831,https://ae01.alicdn.com/kf/H702e6d377da04bcbab4767fc9dfb9cceG/Bags-For-Women-famous-brand-women-handbags-womens-pouch-Crystal-Diamond-Leather-Female-korean-style-women.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H702e6d377da04bcbab4767fc9dfb9cceG.jpg,https://ae04.alicdn.com/kf/H3f724e4e4bc040b4840bea26e18f676ff.jpg,https://ae04.alicdn.com/kf/Hfb5a1b71ba514be087fa8bb7e41f59fdj.jpg,https://ae04.alicdn.com/kf/H6c36be674db2478ca0eee7e3e7cb3aebD.jpg,https://ae04.alicdn.com/kf/H913c8236fa1a41c0a12df000839fd249d.jpg,",https://www.aliexpress.com/item/1005002500476831.html,44.03,44.03,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AtDSqL
