"Product ID","Product Name","Product Main image","Product Details Page Link","Product Price(Unit price)",Commission,"Promotion Link(Valid for 15 days)"
916961,"Wltoys A959 RC Car 1/18 2.4G 4WD Vehicles Models Off Road Truck RTR Toy",https://imgaz1.staticbg.com/thumb/gallery/upload/2012/chenjianwei/SKU119916.21.jpg,https://www.banggood.com/Wltoys-A959-RC-Car-1-or-18-2_4G-4WD-Vehicles-Models-Off-Road-Truck-RTR-Toy-reviews-p916961.html,US$98.16,US$6.87,https://www.banggood.com/Wltoys-A959-RC-Car-1-or-18-2_4G-4WD-Vehicles-Models-Off-Road-Truck-RTR-Toy-p-916961.html?p=4T181370308054202203&custlinkid=1794843
980187,"Wltoys K989 1/28 2.4G 4WD Alloy Chassis Brushed RC Car Vehicles RTR Model",https://imgaz.staticbg.com/thumb/gallery/2014/xuzijiao/06/SKU240579/SKU240579.jpg,https://www.banggood.com/Wltoys-K989-1-or-28-2_4G-4WD-Alloy-Chassis-Brushed-RC-Car-Vehicles-RTR-Model-reviews-p980187.html,US$71.13,US$4.98,https://www.banggood.com/Wltoys-K989-1-or-28-2_4G-4WD-Alloy-Chassis-Brushed-RC-Car-Vehicles-RTR-Model-p-980187.html?p=4T181370308054202203&custlinkid=1794844
1044138,"WLtoys A959-B 1/18 4WD Truck Off Road RC Car 70km/h 7.4V 1400MAH",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/A3/F5/48912d62-0ee5-4b56-801a-a1c61503bd2d.jpg,https://www.banggood.com/WLtoys-A959-B-1-or-18-4WD-Truck-Off-Road-RC-Car-70km-or-h-7_4V-1400MAH-reviews-p1044138.html,US$78.99,US$5.53,https://www.banggood.com/WLtoys-A959-B-1-or-18-4WD-Truck-Off-Road-RC-Car-70km-or-h-7_4V-1400MAH-p-1044138.html?p=4T181370308054202203&custlinkid=1794845
1046285,"WLtoys 12427 2.4G 1/12 4WD Crawler RC Car With LED Light 7.4V 1500mAh",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/B3/27/a68358ce-1f4c-47c4-a2d6-baa2bd669a65.jpg,https://www.banggood.com/WLtoys-12427-2_4G-1-or-12-4WD-Crawler-RC-Car-With-LED-Light-7_4V-1500mAh-reviews-p1046285.html,US$128.19,US$8.97,https://www.banggood.com/WLtoys-12427-2_4G-1-or-12-4WD-Crawler-RC-Car-With-LED-Light-7_4V-1500mAh-p-1046285.html?p=4T181370308054202203&custlinkid=1794846
1089389,"Banggood 1/32 2.4G Racing Multilayer in Parallel Operate USB Charging Edition Formula RC Car Indoor Toys",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/76/DF/5397efc4-4de7-4b4c-a373-f6a25fb25791.jpg,https://www.banggood.com/Banggood-1-or-32-2_4G-Racing-Multilayer-in-Parallel-Operate-USB-Charging-Edition-Formula-RC-Car-Indoor-Toys-reviews-p1089389.html,US$18.89,US$1.32,https://www.banggood.com/Banggood-1-or-32-2_4G-Racing-Multilayer-in-Parallel-Operate-USB-Charging-Edition-Formula-RC-Car-Indoor-Toys-p-1089389.html?p=4T181370308054202203&custlinkid=1794847
1291833,"WPL C24 1/16 RTR 4WD 2.4G Military Truck Crawler Off Road RC Car 2CH Toy",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/6C/33/10117063-65ec-4a5a-aa94-d5e5d6119cea.jpg,https://www.banggood.com/WPL-C24-1-or-16-RTR-4WD-2_4G-Military-Truck-Crawler-Off-Road-RC-Car-2CH-Toy-reviews-p1291833.html,US$63.51,US$4.45,https://www.banggood.com/WPL-C24-1-or-16-RTR-4WD-2_4G-Military-Truck-Crawler-Off-Road-RC-Car-2CH-Toy-p-1291833.html?p=4T181370308054202203&custlinkid=1794848
1564051,"Wltoys 144001 1/14 2.4G 4WD High Speed Racing RC Car Vehicle Models 60km/h",https://imgaz3.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/2F/1A/17f903df-f084-4163-9680-ded958ba14a7.jpg,https://www.banggood.com/Wltoys-144001-1-or-14-2_4G-4WD-High-Speed-Racing-RC-Car-Vehicle-Models-60km-or-h-reviews-p1564051.html,US$93.99,US$6.58,https://www.banggood.com/Wltoys-144001-1-or-14-2_4G-4WD-High-Speed-Racing-RC-Car-Vehicle-Models-60km-or-h-p-1564051.html?p=4T181370308054202203&custlinkid=1794849
1588753,"Wltoys 144001 1/14 2.4G 4WD High Speed Racing RC Car Vehicle Models 60km/h 7.4v 1500mah Two or Three Battery",https://imgaz3.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/58/CF/72f73973-140d-4d7b-9630-c305d9926327.jpg,https://www.banggood.com/Wltoys-144001-1-or-14-2_4G-4WD-High-Speed-Racing-RC-Car-Vehicle-Models-60km-or-h-7_4v-1500mah-Two-or-Three-Battery-reviews-p1588753.html,"US$110.99 ~ US$122.99",US$7.77,https://www.banggood.com/Wltoys-144001-1-or-14-2_4G-4WD-High-Speed-Racing-RC-Car-Vehicle-Models-60km-or-h-7_4v-1500mah-Two-or-Three-Battery-p-1588753.html?p=4T181370308054202203&custlinkid=1794850
1607875,"SG 1602 2.4G 1/16 Brushless RC Car High Speed 45km/h Vehicle Models",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/19/17/08320b92-c6f1-48da-8daf-3c28ffb43bd5.jpg,https://www.banggood.com/SG-1602-2_4G-1-or-16-Brushless-RC-Car-High-Speed-45km-or-h-Vehicle-Models-reviews-p1607875.html,US$87.99,US$6.16,https://www.banggood.com/SG-1602-2_4G-1-or-16-Brushless-RC-Car-High-Speed-45km-or-h-Vehicle-Models-p-1607875.html?p=4T181370308054202203&custlinkid=1794851
1611391,"Eachine EAT04 1/12 2.4G 4WD RC Car Metal Body Shell Desert Off-road Truck 7.4V 1500mAH RTR Toy Black",https://imgaz2.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/E7/18/72c3f376-3597-4fb4-b93b-d7d5a40813ba.JPG,https://www.banggood.com/Eachine-EAT04-1-or-12-2_4G-4WD-RC-Car-Metal-Body-Shell-Desert-Off-road-Truck-7_4V-1500mAH-RTR-Toy-Black-reviews-p1611391.html,"US$95.99 ~ US$125.99",US$6.79,https://www.banggood.com/Eachine-EAT04-1-or-12-2_4G-4WD-RC-Car-Metal-Body-Shell-Desert-Off-road-Truck-7_4V-1500mAH-RTR-Toy-Black-p-1611391.html?p=4T181370308054202203&custlinkid=1794852
