Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Jeans,200000361,New High Waist Velvet Thick Jeans Female Winter Skinny Stretch Warm Jeans Pants Mom Black Denim Trousers With Fleece Pants P125,1005001973226604,https://ae01.alicdn.com/kf/H472cfee04c05445e894d1c997436fdc1r/New-High-Waist-Velvet-Thick-Jeans-Female-Winter-Skinny-Stretch-Warm-Jeans-Pants-Mom-Black-Denim.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H472cfee04c05445e894d1c997436fdc1r.jpg,https://ae04.alicdn.com/kf/H5b566da02bc143f882ec01e0ed613b9eL.jpg,https://ae04.alicdn.com/kf/Hbb7afb6da9b240d58f5848a792232dfb6.jpg,https://ae04.alicdn.com/kf/Hf719c425a1fa4405ae6069e0da49087bl.jpg,https://ae04.alicdn.com/kf/H310e568eec184a559bc93eec9dfff1a0r.jpg,",https://www.aliexpress.com/item/1005001973226604.html,29.98,14.99,42.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_ANPuBN
Jeans,200000361,Pants Female Women's Jeans Large Size Boyfriend Jean Women Jeans Pants High Waist Mom Ripped Jeans 2021 Stright Trousers джинсы,1005002408640482,https://ae01.alicdn.com/kf/H46681e7fbc78492c9cd1658c19e83bf62/Pants-Female-Women-s-Jeans-Large-Size-Boyfriend-Jean-Women-Jeans-Pants-High-Waist-Mom-Ripped.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H46681e7fbc78492c9cd1658c19e83bf62.jpg,https://ae04.alicdn.com/kf/H84e0880610534160805393961ec974b5G.jpg,https://ae04.alicdn.com/kf/H13b61206341a4433988ec6b00e400f96D.jpg,https://ae04.alicdn.com/kf/H3807ebe9086041b6af9e1997de9fa173t.jpg,https://ae04.alicdn.com/kf/H3cc170cd27204dbf8b9091721ff7afd9Q.jpg,",https://www.aliexpress.com/item/1005002408640482.html,13.35,6.68,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AqA3Sn
Jeans,200000361,High Waist Ripped Jeans For Women's Loose Thin Jeans denim Pants Breeches Overalls 2021 Vintage Female Torn Trousers streetwear,1005002408567987,https://ae01.alicdn.com/kf/H5f15162eed0c42df8dcc77452a9117338/High-Waist-Ripped-Jeans-For-Women-s-Loose-Thin-Jeans-denim-Pants-Breeches-Overalls-2021-Vintage.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5f15162eed0c42df8dcc77452a9117338.jpg,https://ae04.alicdn.com/kf/H78d726c347df41c3b1695862dd29b517F.jpg,https://ae04.alicdn.com/kf/Hb79093302787456fb5858a64928f4e745.jpg,https://ae04.alicdn.com/kf/Hfd56758919844210a68ea625370051b0n.jpg,https://ae04.alicdn.com/kf/Hb645cbb39a4a4c3b8110cfe3d1bf0ce42.jpg,",https://www.aliexpress.com/item/1005002408567987.html,12.04,6.02,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_A7bdnv
Jeans,200000361,Women's Jeans High Waist Stretch Skinny Denim Pants 2021 Spring Summer джинсы Blue Retro Washed Elastic Slim Pencil Trousers,1005002408632527,https://ae01.alicdn.com/kf/H4a539a5ad8824c748605e82d0ec1da2aE/Women-s-Jeans-High-Waist-Stretch-Skinny-Denim-Pants-2021-Spring-Summer-джинсы-Blue-Retro-Washed.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4a539a5ad8824c748605e82d0ec1da2aE.jpg,https://ae04.alicdn.com/kf/H8da8685edd2843dc9dbcf60ad048c6cdw.jpg,https://ae04.alicdn.com/kf/H9453c7bd874d473b8e20a5820b5608feN.jpg,https://ae04.alicdn.com/kf/Hba4e6493f047494ab98c9f7a25e6bb73w.jpg,https://ae04.alicdn.com/kf/H84ac375199514b0dafda154e993970e3M.jpg,",https://www.aliexpress.com/item/1005002408632527.html,11.46,5.73,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_A6rBhV
Jeans,200000361,Vintage Cow Print Baggy Jeans Women Casual High Waisted Pants Loose Harajuku 90s Black White Long Trousers Ladies джинсы Street,1005002408657361,https://ae01.alicdn.com/kf/H94d3360584164915a30669033710ac33Z/Vintage-Cow-Print-Baggy-Jeans-Women-Casual-High-Waisted-Pants-Loose-Harajuku-90s-Black-White-Long.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H94d3360584164915a30669033710ac33Z.jpg,https://ae04.alicdn.com/kf/He41bb5a32cbf401795cf0a24bb46a0d9l.jpg,https://ae04.alicdn.com/kf/H93c591b11bd547b6a544fe5a31fbb05cL.jpg,https://ae04.alicdn.com/kf/Hb1b360f4a16c4f10bbb213d2d7517fe4X.jpg,https://ae04.alicdn.com/kf/H2562beaf9ce9482b961a480d707026051.jpg,",https://www.aliexpress.com/item/1005002408657361.html,12.37,6.19,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_ADlCth
Jeans,200000361,Woman Jeans High Waist Clothes Wide Leg Denim Clothing Streetwear Vintage Quality 2020 Summer,1005002413671891,https://ae01.alicdn.com/kf/H3934db7f5c584077bafd124172050497G/Woman-Jeans-High-Waist-Clothes-Wide-Leg-Denim-Clothing-Streetwear-Vintage-Quality-2020-Summer.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3934db7f5c584077bafd124172050497G.jpg,https://ae04.alicdn.com/kf/H99d6dfd4f5924f19817eaa6c6334299fP.jpg,https://ae04.alicdn.com/kf/H8277fb72ddc04f57a68b4150985682459.jpg,https://ae04.alicdn.com/kf/Hc04c9f700c7c43afaf28a5c2f5339832G.jpg,",https://www.aliexpress.com/item/1005002413671891.html,47.64,28.58,40.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AUpO67
Jeans,200000361,Woman Jeans High Waist Clothes Wide Leg Denim Clothing Streetwear Vintage Quality 2020 Fashion,1005002413757235,https://ae01.alicdn.com/kf/Hbc881393b9a04a1ca14c94f0dc4c69e06/Woman-Jeans-High-Waist-Clothes-Wide-Leg-Denim-Clothing-Streetwear-Vintage-Quality-2020-Fashion.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hbc881393b9a04a1ca14c94f0dc4c69e06.jpg,https://ae04.alicdn.com/kf/H6cc3f48edb124bb783bc29587bf13b9dY.jpg,https://ae04.alicdn.com/kf/H4d35f8b52a62495e98f1e461983266e1v.jpg,https://ae04.alicdn.com/kf/H88346ea416e34705882f53b4dfe01634i.jpg,",https://www.aliexpress.com/item/1005002413757235.html,32.66,19.60,40.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_9uzziR
Jeans,200000361,Women Jeans For Women Fashion Denim Harem Pants High Waist Ladies Wide Leg Blue Jeans Pants Korean Style All-match Full-length,1005002408605765,https://ae01.alicdn.com/kf/H2e37547278d9411e992c6dcd340ceaa2x/Women-Jeans-For-Women-Fashion-Denim-Harem-Pants-High-Waist-Ladies-Wide-Leg-Blue-Jeans-Pants.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2e37547278d9411e992c6dcd340ceaa2x.jpg,https://ae04.alicdn.com/kf/H6ea97fec2905418aa110625550567810k.jpg,https://ae04.alicdn.com/kf/H28da4b11444a439984f7eb3e520f609ft.jpg,https://ae04.alicdn.com/kf/H947e93d775a34925a6b45b9ef56978e9n.jpg,https://ae04.alicdn.com/kf/Hc1cad09c0ab04c29aae35b257d65808cu.jpg,",https://www.aliexpress.com/item/1005002408605765.html,13.38,6.69,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AmSVv5
Jeans,200000361,Women's Jewelry Diamond Embroidered Street Denim Pants Women's Light Blue Hollow Hole Slim Jeans Punk Fashion Ankle Leggings,1005002348213928,https://ae01.alicdn.com/kf/Hf15c3d1e69cc4c1fb34c8af6ce79ee03d/Women-s-Jewelry-Diamond-Embroidered-Street-Denim-Pants-Women-s-Light-Blue-Hollow-Hole-Slim-Jeans.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf15c3d1e69cc4c1fb34c8af6ce79ee03d.jpg,https://ae04.alicdn.com/kf/Ha3f2dedfa957478fbd9d54f57023fa89F.jpg,https://ae04.alicdn.com/kf/H72e65769658e4d36a7c40b6eccb5f638M.jpg,https://ae04.alicdn.com/kf/H9e49e76db94748bfad0c906498e9b3d8M.jpg,https://ae04.alicdn.com/kf/H3e5728f91b14444a91b8718c384cb969a.jpg,",https://www.aliexpress.com/item/1005002348213928.html,40.92,20.46,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_97Mi6T
Jeans,200000361,2021 New Ripped Jeans Spring Summer Fashion Casual Denim Pants hole womens jeans High Waisted Ripped Jeans For Women  Street,1005002408704036,https://ae01.alicdn.com/kf/H89091887fc8646489ecc851f29d989dfM/2021-New-Ripped-Jeans-Spring-Summer-Fashion-Casual-Denim-Pants-hole-womens-jeans-High-Waisted-Ripped.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H89091887fc8646489ecc851f29d989dfM.jpg,https://ae04.alicdn.com/kf/H374fadc307be4c20b294b3e0f29aa8e4X.jpg,https://ae04.alicdn.com/kf/Hba231765dfe049ca9c73bd9c765bf838h.jpg,https://ae04.alicdn.com/kf/He68853cfdb0e4b21b2a310145a4b01d0r.jpg,https://ae04.alicdn.com/kf/Hf4a9ae27c6ec457eb66b6abfce81af52e.jpg,",https://www.aliexpress.com/item/1005002408704036.html,13.87,6.94,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9iuq8B
