Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Makeup,660103,SNOW LADY Liu Yun Style Eyebrow Chalk Novice Easy Draw Waterproof Anti Sweat Lasting Non Halo Dye Female Students Eyebrow Powder,1005002276616796,https://ae01.alicdn.com/kf/Hdac31e98e7a54c25b29557004ce30505z/SNOW-LADY-Liu-Yun-Style-Eyebrow-Chalk-Novice-Easy-Draw-Waterproof-Anti-Sweat-Lasting-Non-Halo.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hdac31e98e7a54c25b29557004ce30505z.jpg,https://ae04.alicdn.com/kf/He3fb805795624004a6659b764c634a86X.jpg,https://ae04.alicdn.com/kf/H5966cd8d70e046e0a47941e5947aa687i.jpg,https://ae04.alicdn.com/kf/H70865a746d524da3bc5622f8f3393c0dC.jpg,https://ae04.alicdn.com/kf/H66008ea9a2b84d7da2859445f73aa874Y.jpg,",https://www.aliexpress.com/item/1005002276616796.html,2.99,2.39,10.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_9gS60g
Makeup,660103,SNOW LADY Eyeliner Pen No Dizzy Dye Waterproof Sweat Resistant No Decolorizing Durable Big Eyes Easy To Makeup Beginners Liquid,1005002273108366,https://ae01.alicdn.com/kf/Ha3230597303147a3b7e911f74063ab29F/SNOW-LADY-Eyeliner-Pen-No-Dizzy-Dye-Waterproof-Sweat-Resistant-No-Decolorizing-Durable-Big-Eyes-Easy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha3230597303147a3b7e911f74063ab29F.jpg,https://ae04.alicdn.com/kf/H9dde869d1a004f6fbeec5437f5af0e6cv.jpg,https://ae04.alicdn.com/kf/Hf749f5b77234470db3b748b340911201H.jpg,https://ae04.alicdn.com/kf/H544f46fcff414906980ba4f17d99a471O.jpg,https://ae04.alicdn.com/kf/H223b2f40137641d9ac4c490e306e32f2o.jpg,",https://www.aliexpress.com/item/1005002273108366.html,3.20,,8.00%,2098-12-31,null%,https://s.click.aliexpress.com/e/_AlXah6
Makeup,660103,SNOW LADY Thrush Artifact Automatic Rotation Double Head Eyebrow Pen Card + Three Replacement Refills Waterproof Non Halo Dyeing,1005002276923838,https://ae01.alicdn.com/kf/H717c0efe22994d308fda458495e1252e7/SNOW-LADY-Thrush-Artifact-Automatic-Rotation-Double-Head-Eyebrow-Pen-Card-Three-Replacement-Refills-Waterproof-Non.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H717c0efe22994d308fda458495e1252e7.jpg,https://ae04.alicdn.com/kf/Hcd4a4444c3ae441aaced3a77b856bbb2R.jpg,https://ae04.alicdn.com/kf/Hb4719c5e5b864b378cac866f17363b69S.jpg,https://ae04.alicdn.com/kf/Hc4bfd6bb10884d38971a93ed137abb4fK.jpg,https://ae04.alicdn.com/kf/Hf506ff55a6a94dd6b02e77ab3ab347fax.jpg,",https://www.aliexpress.com/item/1005002276923838.html,3.50,2.10,10.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AX5ODw
Makeup,660103,SNOW LADY Double Colors Air Cushion Eyebrow Cream Waterproof Smudge-Proof Gel Eyeliner Lasting Beauty Makeup Enhancer With Brush,1005002279187970,https://ae01.alicdn.com/kf/H09f607d3b4dd4ab684786ee8864a8e962/SNOW-LADY-Double-Colors-Air-Cushion-Eyebrow-Cream-Waterproof-Smudge-Proof-Gel-Eyeliner-Lasting-Beauty-Makeup.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H09f607d3b4dd4ab684786ee8864a8e962.jpg,https://ae04.alicdn.com/kf/H661e13e209cc4772b8aca3c77fd0c210Q.jpg,https://ae04.alicdn.com/kf/H1c7e1bbf2e0749ffb3cc3a83a648e588Z.jpg,https://ae04.alicdn.com/kf/H6c5cea4b72ba4210bf26da46cd86193dX.jpg,https://ae04.alicdn.com/kf/H2e98375d26624802aaf4c5fcbb6681b6z.jpg,",https://www.aliexpress.com/item/1005002279187970.html,3.20,,10.00%,2098-12-31,null%,https://s.click.aliexpress.com/e/_9ztuku
Makeup,660103,SNOW LADY Leezi Star 4D Long Mascara Thick Curling Waterproof Anti Sweat No Coloration Makeup Cosmetics  24 Hours Lasting Batom,1005002269069988,https://ae01.alicdn.com/kf/Hfef288a5929c4e959fc61dd2ab9797fbb/SNOW-LADY-Leezi-Star-4D-Long-Mascara-Thick-Curling-Waterproof-Anti-Sweat-No-Coloration-Makeup-Cosmetics.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hfef288a5929c4e959fc61dd2ab9797fbb.jpg,https://ae04.alicdn.com/kf/He198f112b22547d2b1a4cdad752f5c021.jpg,https://ae04.alicdn.com/kf/H51a83f423f0448f38176f0773e54e89b8.jpg,https://ae04.alicdn.com/kf/Hec92b844eefa441ca2b210524fa3b6d3u.jpg,https://ae04.alicdn.com/kf/He392eefde11c4ea6a9775333aded36d8s.jpg,",https://www.aliexpress.com/item/1005002269069988.html,4.50,2.93,8.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_AKOoNi
Makeup,660103,SNOW LADY Coloured Eyeliner Pen Waterproof Long Lasting No Dye VeryFine White Beginner Novice Makeup Quick Drying Eyebrow Pencil,1005002265144793,https://ae01.alicdn.com/kf/Hb9dbc878834b45a7aa5bcd8e3f66be2ex/SNOW-LADY-Coloured-Eyeliner-Pen-Waterproof-Long-Lasting-No-Dye-VeryFine-White-Beginner-Novice-Makeup-Quick.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb9dbc878834b45a7aa5bcd8e3f66be2ex.jpg,https://ae04.alicdn.com/kf/He78ed059afe24357be953077fb593145Q.jpg,https://ae04.alicdn.com/kf/Ha5faef23a01b47528f143d4e1934212aD.jpg,https://ae04.alicdn.com/kf/H6339e91010ec407fa13cdc9de29e882ah.jpg,https://ae04.alicdn.com/kf/He11a13c7c2be4b86a23fbd0d7aa8f81cS.jpg,",https://www.aliexpress.com/item/1005002265144793.html,3.99,,8.00%,2098-12-31,null%,https://s.click.aliexpress.com/e/_A0TJU8
Makeup,660103,SNOW LADY Star Flash Milky Way Spray Makeup Quickly Film Durable Oil Control Moisturizing Replenishment 100ml Liquid LongLasting,1005002268647216,https://ae01.alicdn.com/kf/H2681f31f253a4a6c9eb24e3732962238E/SNOW-LADY-Star-Flash-Milky-Way-Spray-Makeup-Quickly-Film-Durable-Oil-Control-Moisturizing-Replenishment-100ml.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2681f31f253a4a6c9eb24e3732962238E.jpg,https://ae04.alicdn.com/kf/H76d4ec90e5cb492d94ae34b2cc6caa8ec.jpg,https://ae04.alicdn.com/kf/H3246782455f14ef6b01a0deb58016712O.jpg,https://ae04.alicdn.com/kf/H013908e226f849c3a04f1bfc4dd26b5dD.jpg,https://ae04.alicdn.com/kf/Hcc2ad57a941741fabd0ef93f2cdadebew.jpg,",https://www.aliexpress.com/item/1005002268647216.html,8.99,,8.00%,2098-12-31,null%,https://s.click.aliexpress.com/e/_9IY3X6
Makeup,660103,SNOW LADY Eyebrow Dye Cream Naturally Waterproof Sweat Proof Non Decolorizing Novice 3D Wild Brush Powder 3 in 1 Long Lasting,1005002266676530,https://ae01.alicdn.com/kf/H53d2a54504cb4f45ada34e4da9dd5fddG/SNOW-LADY-Eyebrow-Dye-Cream-Naturally-Waterproof-Sweat-Proof-Non-Decolorizing-Novice-3D-Wild-Brush-Powder.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H53d2a54504cb4f45ada34e4da9dd5fddG.jpg,https://ae04.alicdn.com/kf/Hc98804ac27ce448f9ef557f31165b3342.jpg,https://ae04.alicdn.com/kf/H369ce99a454a4e718de603a46c61d745Z.jpg,https://ae04.alicdn.com/kf/H5b03b1b2a0a5407f967f9a61e161319du.jpg,https://ae04.alicdn.com/kf/H9baa8e4f435a4c0a892a438c13565f9ai.jpg,",https://www.aliexpress.com/item/1005002266676530.html,12.50,,8.00%,2098-12-31,null%,https://s.click.aliexpress.com/e/_A38ZuU
Makeup,660103,SNOW LADY Silk Grafting Mascara Double Tube Suit Anti Perspiration Waterproof Thick No Easy Faint Curl Curly Make-Up LongLasting,1005002279576061,https://ae01.alicdn.com/kf/H7137af78e734475e9f4a4f2b79a15ecfX/SNOW-LADY-Silk-Grafting-Mascara-Double-Tube-Suit-Anti-Perspiration-Waterproof-Thick-No-Easy-Faint-Curl.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7137af78e734475e9f4a4f2b79a15ecfX.jpg,https://ae04.alicdn.com/kf/H8cb2e8fa97494f36aa593fd6bb9024b1G.jpg,https://ae04.alicdn.com/kf/He6ae834644634e7582ee9ff608a81acfX.jpg,https://ae04.alicdn.com/kf/H02792ebc07aa4542a00755856513412aR.jpg,https://ae04.alicdn.com/kf/Hd3609e1160844feb917f4583761c3dde6.jpg,",https://www.aliexpress.com/item/1005002279576061.html,2.99,,8.00%,2098-12-31,null%,https://s.click.aliexpress.com/e/_AXRLWo
Makeup,660103,SNOW LADY Leezi Bullet Length Long Diving Mascara Waterproof Sweat Proof Not Natural Thick And Curly 4D,1005002266801210,https://ae01.alicdn.com/kf/Hd4c32c4e663c4135b2d8593cd742330cz/SNOW-LADY-Leezi-Bullet-Length-Long-Diving-Mascara-Waterproof-Sweat-Proof-Not-Natural-Thick-And-Curly.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd4c32c4e663c4135b2d8593cd742330cz.jpg,https://ae04.alicdn.com/kf/Hc80eea86510c4c88b38d850bfb36e920k.jpg,https://ae04.alicdn.com/kf/Hdd0ed913ec034fedbb0dc717b267f1da7.jpg,https://ae04.alicdn.com/kf/H6ed2d34c57ae4eb2bdfd2d8ef957d8d2H.jpg,https://ae04.alicdn.com/kf/H7ffbf34d5734434eba21919ba80e0e45f.jpg,",https://www.aliexpress.com/item/1005002266801210.html,13.80,,8.00%,2098-12-31,null%,https://s.click.aliexpress.com/e/_9J4pdQ
